Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
1.0,2018-01-04,17:42,14.72402585,78.61039332,Serious injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,Andhra Pradesh,Y.s.r.
2.0,2018-01-05,17:36,14.76235346,78.53404158,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
3.0,2018-01-06,00:15,14.74560635,78.47087739,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
4.0,2018-01-07,10:35,14.66712796,78.55799399,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Andhra Pradesh,Y.s.r.
5.0,2018-01-10,21:13,14.70344275,78.57643143,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lighting unknown,Andhra Pradesh,Y.s.r.
6.0,2018-01-11,12:40,14.73735895,78.53105133,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Andhra Pradesh,Y.s.r.
7.0,2018-01-13,20:40,14.77949108,78.51672417,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
8.0,2018-01-14,17:35,14.74135682,78.57055271,Minor injury,1.0,2.0,Dual carriageway,Fine no high winds,Daylight,Andhra Pradesh,Y.s.r.
9.0,2018-01-15,22:43,14.67901549,78.51020892,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
10.0,2018-01-15,16:00,14.7992631,78.56704157,Minor injury,2.0,5.0,Single carriageway,Fine no high winds,Daylight,Andhra Pradesh,Y.s.r.
11.0,2018-01-16,00:42,14.80453592,78.63085265,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
12.0,2018-01-25,20:48,14.72807038,78.56039757,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
13.0,2018-01-11,12:55,14.73695141,78.54800398,Minor injury,1.0,1.0,One way street,Raining no high winds,Daylight,Andhra Pradesh,Y.s.r.
14.0,2018-01-18,05:01,14.78661225,78.51510124,Minor injury,2.0,1.0,One way street,Raining no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
15.0,2018-01-18,11:15,14.76177454,78.54884501,Minor injury,1.0,2.0,Dual carriageway,Fine no high winds,Daylight,Andhra Pradesh,Y.s.r.
16.0,2018-01-18,10:50,14.79778677,78.62517787,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Andhra Pradesh,Y.s.r.
17.0,2018-01-20,00:15,14.75023732,78.6056363,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
18.0,2018-01-21,09:15,14.67274885,78.48561567,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Andhra Pradesh,Y.s.r.
19.0,2018-01-21,21:16,14.76982921,78.59611776,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
20.0,2018-01-08,03:00,14.72219681,78.61996151,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
21.0,2018-01-24,21:45,14.68993894,78.57722074,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
22.0,2018-01-24,17:05,14.78535045,78.60244576,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
23.0,2018-01-24,21:30,14.6911247,78.64223571,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
24.0,2018-01-18,17:25,14.684316,78.63018181,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Andhra Pradesh,Y.s.r.
25.0,2018-01-29,07:34,14.7120892,78.61960304,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Andhra Pradesh,Y.s.r.
