Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
2600.0,2018-01-17,16:15,27.10316727,93.60853437,Minor injury,1.0,1.0,One way street,Raining no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2601.0,2018-01-14,20:45,27.08960486,93.62885819,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2602.0,2018-01-18,21:05,27.10032407,93.62111771,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2603.0,2018-01-19,16:19,27.10540427,93.61040561,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2604.0,2018-01-14,12:50,27.10285298,93.61763595,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2605.0,2018-01-14,08:05,27.08906411,93.61207767,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2606.0,2018-01-05,12:15,27.1027401,93.6312606,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2607.0,2018-01-14,15:30,27.09501499,93.62134993,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2608.0,2018-01-17,18:30,27.0899994,93.62207908,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2609.0,2018-01-18,15:30,27.10224951,93.61982947,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2610.0,2018-01-20,08:03,27.08950967,93.61622032,Serious injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2611.0,2018-01-17,18:05,27.10080364,93.62015963,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2612.0,2018-01-17,18:40,27.10531562,93.61662807,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2613.0,2018-01-17,01:40,27.09356856,93.62535402,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2614.0,2018-01-17,16:10,27.08906236,93.60941184,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2615.0,2018-01-17,10:40,27.10002016,93.63262788,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2616.0,2018-01-18,14:28,27.10213603,93.61847223,Minor injury,2.0,1.0,One way street,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2617.0,2018-01-17,16:00,27.09851652,93.62688363,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2618.0,2018-01-15,05:35,27.10089117,93.62178586,Minor injury,1.0,3.0,Single carriageway,Raining no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2619.0,2018-01-16,15:30,27.09792127,93.63339441,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2620.0,2018-01-19,08:23,27.09421875,93.63207324,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2621.0,2018-01-18,17:35,27.08942168,93.62327634,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2622.0,2018-01-21,13:58,27.10520234,93.62437541,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2623.0,2018-01-21,19:54,27.08882348,93.61826109,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Arunanchal Pradesh,Papum Pare
2624.0,2018-01-21,09:55,27.09053123,93.62987557,Minor injury,2.0,1.0,One way street,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
2625.0,2018-01-21,16:15,27.10594683,93.61556851,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Arunanchal Pradesh,Papum Pare
