Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
7800.0,2018-11-19,13:28,25.77000327,87.46930718,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7801.0,2018-11-17,16:42,25.78843696,87.49172244,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7802.0,2018-09-27,10:30,25.76416571,87.49281327,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7803.0,2018-11-28,08:20,25.77833009,87.49553782,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7804.0,2018-11-25,15:50,25.78374935,87.45401196,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Bihar,Purnia
7805.0,2018-11-21,14:26,25.76353214,87.45336883,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Bihar,Purnia
7806.0,2018-11-20,22:36,25.77069011,87.49343732,Minor injury,3.0,3.0,Roundabout,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7807.0,2018-11-17,07:55,25.78295804,87.4898902,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7808.0,2018-11-17,09:20,25.77300685,87.49365351,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,Bihar,Purnia
7809.0,2018-11-20,17:45,25.79065178,87.45804386,Serious injury,3.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7810.0,2018-11-16,11:30,25.7667969,87.48357046,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7811.0,2018-11-10,17:00,25.79119546,87.47047146,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7812.0,2018-11-14,21:49,25.76953108,87.45366801,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7813.0,2018-11-25,19:33,25.77189016,87.4529504,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7814.0,2018-11-28,21:41,25.77637194,87.48496071,Serious injury,1.0,1.0,One way street,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7815.0,2018-01-22,18:00,25.7656131,87.46647563,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7816.0,2018-11-14,10:45,25.78001974,87.49483385,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Bihar,Purnia
7817.0,2018-11-14,19:01,25.7916771,87.48828006,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7818.0,2018-11-18,10:12,25.78316688,87.46723585,Minor injury,1.0,1.0,Roundabout,Fine no high winds,Daylight,Bihar,Purnia
7819.0,2018-11-29,21:55,25.79175143,87.49493489,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Bihar,Purnia
7820.0,2018-11-17,19:00,25.78561208,87.48141559,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Bihar,Purnia
