Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
13005.0,2018-03-07,08:20,15.30389687,74.07096727,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13018.0,2018-03-12,09:45,15.35268349,74.02406671,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13031.0,2018-03-14,21:31,15.3457186,74.05344742,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Darkness - lights lit,Goa,North Goa
13036.0,2018-03-21,07:50,15.36651032,74.08160685,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13040.0,2018-03-25,23:15,15.3492284,74.04463535,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13041.0,2018-03-25,18:00,15.27726519,74.09730027,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13046.0,2018-03-26,21:36,15.33904084,74.00627152,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13048.0,2018-03-28,22:35,15.32546627,74.03052453,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13070.0,2018-04-05,14:50,15.33392072,74.08451285,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13086.0,2018-03-29,13:00,15.3129828,74.02759983,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13090.0,2018-04-08,20:54,15.35453068,74.05994898,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13091.0,2018-04-08,21:38,15.31135797,74.07798288,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - no lighting,Goa,North Goa
13109.0,2018-04-16,19:00,15.31694692,74.07331557,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13115.0,2018-04-14,17:10,15.31747827,74.02250326,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13118.0,2018-04-16,21:55,15.34445436,74.08279964,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13123.0,2018-04-18,08:03,15.34606974,74.07836593,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,North Goa
13126.0,2018-04-18,11:18,15.30937266,74.04482605,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13132.0,2018-04-22,10:50,15.35164358,74.03304479,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Goa,North Goa
13134.0,2018-04-24,21:07,15.30936156,74.06086648,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,Goa,North Goa
13138.0,2018-04-20,10:45,15.32940919,74.05974813,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13147.0,2018-04-22,10:20,15.31395925,74.02294561,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13148.0,2018-04-28,18:30,15.32167265,74.03582272,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13149.0,2018-04-28,07:50,15.32724779,74.07452152,Serious injury,5.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13152.0,2018-04-29,11:38,15.33876981,74.03826775,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13171.0,2018-05-12,18:00,15.27631691,74.101043,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13186.0,2018-05-11,19:50,15.3051603,74.08309109,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13187.0,2018-05-15,10:41,15.2938563,74.07303912,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13189.0,2018-05-16,12:50,15.34451063,74.02908062,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13191.0,2018-05-12,08:32,15.31265215,74.02170213,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13195.0,2018-05-18,14:30,15.32233223,74.05074546,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13199.0,2018-05-04,07:12,15.29179544,74.07486273,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13209.0,2018-05-24,13:38,15.3079895,74.01644269,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,North Goa
13211.0,2018-05-27,14:25,15.33805379,74.08551972,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13217.0,2018-05-26,19:01,15.28646387,74.08731189,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13223.0,2018-06-01,11:45,15.29269061,74.0720137,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13234.0,2018-06-05,15:05,15.36095141,74.02944153,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13238.0,2018-06-12,15:30,15.32429324,74.02343354,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13239.0,2018-06-05,18:15,15.36051453,74.00286461,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13247.0,2018-06-17,19:00,15.34317885,74.02378526,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13252.0,2018-06-14,09:00,15.30899459,74.0123901,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13266.0,2018-06-14,22:15,15.35938653,74.08686781,Minor injury,1.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13269.0,2018-06-20,16:08,15.36447383,74.03827014,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13274.0,2018-06-17,20:30,15.28450959,74.09573011,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13276.0,2018-06-10,16:10,15.29533932,74.09271196,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13280.0,2018-06-18,09:25,15.34104176,74.0273396,Serious injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13285.0,2018-06-24,19:25,15.32473878,74.05025461,Serious injury,2.0,2.0,Single carriageway,Raining no high winds,Daylight,Goa,North Goa
13292.0,2018-06-29,07:25,15.35450398,74.09333542,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13308.0,2018-07-03,14:50,15.30500065,74.05493743,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13341.0,2018-06-30,06:54,15.32462091,74.02728671,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13349.0,2018-07-19,17:49,15.32436611,74.00991051,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13350.0,2018-06-19,08:55,15.31010196,74.08571316,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13356.0,2018-07-27,16:20,15.35100886,74.01035382,Minor injury,2.0,1.0,Dual carriageway,Raining no high winds,Daylight,Goa,North Goa
13357.0,2018-08-12,09:30,15.35826008,74.03397427,Serious injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Goa,North Goa
13358.0,2018-08-03,13:00,15.32160415,74.01792931,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13370.0,2018-08-09,08:55,15.289034,74.07534811,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13376.0,2018-08-13,04:00,15.30621615,74.05296712,Minor injury,1.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Goa,North Goa
13379.0,2018-08-18,22:57,15.3028318,74.05274143,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13396.0,2018-07-23,15:09,15.33118588,74.03631561,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13416.0,2018-07-28,08:43,15.32275516,74.06494857,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13418.0,2018-08-16,07:44,15.33546322,74.06430523,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13426.0,2018-05-22,15:35,15.35484243,74.08680759,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,North Goa
13429.0,2018-09-03,23:30,15.31730386,74.06063051,Minor injury,2.0,5.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13430.0,2018-09-05,18:39,15.36689884,74.05257538,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13432.0,2018-09-07,16:42,15.3143497,74.07232492,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13435.0,2018-08-30,17:45,15.31698465,74.07264899,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13437.0,2018-09-01,09:28,15.29226099,74.08466991,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13441.0,2018-09-18,19:00,15.3171041,74.00991154,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Goa,North Goa
