Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
15600.0,2018-09-10,21:20,23.03101772,72.65379673,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15601.0,2018-09-19,17:50,23.05028651,72.61352327,Minor injury,4.0,1.0,Dual carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15602.0,2018-10-04,17:46,22.97056664,72.63470299,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15603.0,2018-09-27,18:20,23.02303459,72.65894161,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15604.0,2018-09-08,15:09,22.98054075,72.6088165,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15605.0,2018-09-05,17:15,23.05504391,72.55331739,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15606.0,2018-10-10,08:38,23.08514948,72.51269393,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15607.0,2018-10-09,18:10,23.06087808,72.60931178,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15608.0,2018-10-09,10:55,22.99681121,72.61552564,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15609.0,2018-10-10,08:22,23.07051685,72.57026076,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15610.0,2018-10-12,16:00,23.03232779,72.54526121,Minor injury,3.0,2.0,Single carriageway,Raining no high winds,Daylight,Gujarat,Ahmadabad
15611.0,2018-10-11,02:50,23.0435852,72.54446698,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15612.0,2018-10-12,15:10,22.9770533,72.54318472,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,Gujarat,Ahmadabad
15613.0,2018-10-10,16:15,23.01470444,72.62996237,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15614.0,2018-10-20,06:30,23.08216836,72.61244088,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15615.0,2018-09-25,18:24,23.04699828,72.51543626,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15616.0,2018-09-27,07:45,23.06673073,72.56484307,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15617.0,2018-09-12,17:19,23.045817,72.576034,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Gujarat,Ahmadabad
15618.0,2018-09-11,02:46,22.97910572,72.57478363,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15619.0,2018-10-06,15:00,23.04056115,72.60041636,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15620.0,2018-10-13,13:10,23.08774088,72.64087094,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Gujarat,Ahmadabad
15621.0,2018-10-01,19:20,23.03875924,72.52304704,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15622.0,2018-09-28,13:10,23.03690493,72.6221154,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15623.0,2018-09-28,14:20,23.04674318,72.55424704,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15624.0,2018-09-25,15:18,23.02031028,72.54762344,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15625.0,2018-10-08,14:30,23.01108852,72.53046798,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15626.0,2018-10-22,14:15,23.02281593,72.59761075,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15627.0,2018-09-29,13:03,22.97817528,72.60921199,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15628.0,2018-10-19,16:44,23.01250883,72.54705204,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Gujarat,Ahmadabad
15629.0,2018-10-02,14:40,23.05856018,72.53617677,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15630.0,2018-08-25,01:45,23.02091747,72.63061846,Minor injury,1.0,1.0,Dual carriageway,Raining no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15631.0,2018-08-30,20:29,23.02521593,72.615839,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15632.0,2018-10-19,08:32,22.98362561,72.62447271,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Daylight,Gujarat,Ahmadabad
15633.0,2018-10-20,07:15,23.06899985,72.59015102,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Gujarat,Ahmadabad
15634.0,2018-10-04,16:35,23.01727852,72.53160368,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15635.0,2018-10-05,16:05,23.0172556,72.61817757,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15636.0,2018-10-05,17:55,23.06986875,72.55949296,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Gujarat,Ahmadabad
15637.0,2018-10-08,18:10,23.03461027,72.6424784,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15638.0,2018-10-12,19:00,23.06019691,72.58519551,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Gujarat,Ahmadabad
15639.0,2018-10-13,13:45,23.02067993,72.65101501,Serious injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,Gujarat,Ahmadabad
15640.0,2018-09-21,11:00,22.98909352,72.65029038,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Gujarat,Ahmadabad
15641.0,2018-10-15,19:10,23.07291262,72.5704204,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Gujarat,Ahmadabad
