Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
18200.0,2018-08-06,19:00,28.46088275,77.0090604,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18201.0,2018-08-01,16:39,28.49050033,77.07038613,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18202.0,2018-08-05,13:18,28.45468413,77.07360011,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18203.0,2018-08-05,13:29,28.42811236,77.05973345,Fatal,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18204.0,2018-08-06,09:45,28.46471476,77.050319,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18205.0,2018-08-13,17:30,28.41915888,77.04638715,Serious injury,1.0,2.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18206.0,2018-08-23,18:10,28.44385157,76.9858457,Fatal,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18207.0,2018-08-15,20:52,28.40424044,77.0291317,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18208.0,2018-07-10,23:40,28.4236738,77.07128099,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18209.0,2018-08-09,13:30,28.46926314,76.99001469,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18210.0,2018-09-04,10:45,28.50366546,77.07442323,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18211.0,2018-09-02,07:35,28.50010222,77.00653046,Fatal,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18212.0,2018-08-26,13:00,28.41670388,77.05283945,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18213.0,2018-08-27,03:55,28.45378388,77.07297197,Serious injury,2.0,2.0,Slip road,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18214.0,2018-08-02,21:20,28.4492417,76.98712968,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18215.0,2018-07-28,14:50,28.48486269,77.08200364,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18217.0,2018-08-25,16:10,28.43998218,77.08534252,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18218.0,2018-09-01,12:03,28.49083402,76.9947309,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18219.0,2018-08-11,00:04,28.46095369,77.09750255,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18220.0,2018-08-10,23:30,28.41099897,77.05096821,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18221.0,2018-09-09,20:03,28.45812322,77.0863443,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18222.0,2018-09-10,07:20,28.40961296,77.01435317,Fatal,2.0,3.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18223.0,2018-07-24,14:35,28.49352187,77.02493247,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Haryana,Gurgaon
18224.0,2018-09-01,15:36,28.48272497,76.97242853,Minor injury,4.0,2.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18225.0,2018-07-02,02:15,28.43491736,77.01602791,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,Haryana,Gurgaon
18226.0,2018-08-08,14:48,28.44211421,77.05220373,Serious injury,1.0,1.0,One way street,Fine no high winds,Daylight,Haryana,Gurgaon
18227.0,2018-09-07,20:50,28.4058349,77.07578631,Serious injury,1.0,2.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18228.0,2018-09-12,01:20,28.44543237,77.08545511,Fatal,1.0,3.0,Roundabout,Raining no high winds,Darkness - lights lit,Haryana,Gurgaon
18229.0,2018-09-01,16:00,28.49837262,77.01996686,Serious injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18230.0,2018-09-14,08:10,28.47532468,77.10312988,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18231.0,2018-09-13,16:51,28.44381855,77.02056233,Fatal,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18232.0,2018-09-16,16:10,28.41188143,77.06314182,Fatal,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18233.0,2018-09-06,20:20,28.46051471,77.08173352,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18234.0,2018-09-20,08:34,28.42468537,77.01279694,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18235.0,2018-08-18,18:45,28.48101481,77.01304885,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18236.0,2018-09-17,13:40,28.43605997,77.05155837,Fatal,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18237.0,2018-08-30,21:06,28.47998269,77.06070893,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18238.0,2018-09-15,12:30,28.45794828,77.01422188,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Haryana,Gurgaon
18239.0,2018-09-26,06:14,28.43422449,77.06243902,Fatal,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18240.0,2018-09-29,21:07,28.44844366,77.01426391,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18241.0,2018-09-17,21:45,28.41243729,76.98614803,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18242.0,2018-10-03,17:37,28.48919685,76.98274551,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18243.0,2018-09-11,12:40,28.41152181,77.06233681,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18244.0,2018-08-30,18:20,28.47132294,76.99180684,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18245.0,2018-10-05,13:50,28.45300894,76.99092328,Fatal,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18246.0,2018-10-09,12:00,28.41354811,77.01291263,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18247.0,2018-09-16,16:24,28.4247309,76.98222731,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18248.0,2018-09-20,23:20,28.4738755,77.07882037,Serious injury,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18249.0,2018-09-22,14:39,28.40317302,77.04524151,Serious injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18250.0,2018-09-23,15:05,28.49509176,77.05975017,Minor injury,2.0,1.0,Roundabout,Raining no high winds,Daylight,Haryana,Gurgaon
18251.0,2018-09-30,04:43,28.45003518,76.99106675,Minor injury,2.0,1.0,Roundabout,Raining no high winds,Darkness - lights lit,Haryana,Gurgaon
18252.0,2018-09-29,20:28,28.43782749,77.01759441,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18253.0,2018-09-18,08:25,28.4682382,77.00464584,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18254.0,2018-10-10,21:55,28.43685242,77.03443786,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18255.0,2018-10-12,02:05,28.43129699,76.98548992,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18256.0,2018-10-06,21:00,28.47187583,77.10380797,Serious injury,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18257.0,2018-10-03,16:12,28.48152616,77.04686103,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18258.0,2018-10-05,21:00,28.41831356,76.99083763,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18259.0,2018-10-16,03:16,28.46129764,76.99254969,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
18260.0,2018-10-05,12:05,28.48807812,76.98944911,Minor injury,2.0,4.0,One way street,Fine no high winds,Daylight,Haryana,Gurgaon
18261.0,2018-09-12,10:31,28.42855118,76.99317298,Fatal,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18262.0,2018-09-19,00:57,28.42505933,77.08934407,Minor injury,1.0,1.0,Roundabout,Raining no high winds,Darkness - lights lit,Haryana,Gurgaon
18263.0,2018-10-03,15:15,28.45525321,76.99963371,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Haryana,Gurgaon
18264.0,2018-10-06,21:06,28.48555631,77.05770863,Fatal,1.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Haryana,Gurgaon
