Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
20800.0,2018-09-10,08:25,12.99742061,77.67298021,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20801.0,2018-09-09,20:56,12.98449263,77.61160442,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Karnataka,Bangalore
20802.0,2018-09-18,00:33,12.98544549,77.64187948,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Karnataka,Bangalore
20803.0,2018-09-18,11:00,13.04102471,77.56057649,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20804.0,2018-09-24,18:50,12.98683254,77.55359547,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20805.0,2018-09-19,16:16,12.98976195,77.588625,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20806.0,2018-09-19,07:20,13.01027545,77.63640495,Minor injury,2.0,1.0,One way street,Fine no high winds,Daylight,Karnataka,Bangalore
20807.0,2018-09-15,00:19,12.97162746,77.5148987,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Karnataka,Bangalore
20808.0,2018-09-23,10:08,13.01160585,77.60490084,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20809.0,2018-09-22,17:38,13.01855789,77.54603974,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20810.0,2018-09-24,13:10,13.03893128,77.52230415,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20811.0,2018-09-19,19:55,13.034738,77.53166263,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Karnataka,Bangalore
20812.0,2018-09-24,14:25,12.99106721,77.66988428,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20813.0,2018-09-21,11:59,12.98513958,77.62145216,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20814.0,2018-09-23,17:01,13.02757168,77.58763088,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20815.0,2018-09-27,15:30,12.99456756,77.58803401,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20816.0,2018-09-13,14:25,12.9920551,77.65788291,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20817.0,2018-09-28,16:08,12.97156577,77.61648343,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20818.0,2018-09-29,09:00,13.0189826,77.61735025,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20819.0,2018-09-28,13:34,13.01136734,77.61445866,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20820.0,2018-09-28,16:30,13.01841102,77.5103419,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20821.0,2018-09-24,13:30,13.0294475,77.55073276,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20822.0,2018-09-23,19:19,13.04010478,77.55745955,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Karnataka,Bangalore
20823.0,2018-09-13,09:00,13.00498758,77.53185702,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20824.0,2018-09-15,13:00,13.02437835,77.59248064,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20825.0,2018-10-05,17:22,13.04166993,77.59576037,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20826.0,2018-09-29,09:03,12.97167578,77.57656548,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20827.0,2018-10-01,20:30,12.97662577,77.64138661,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Karnataka,Bangalore
20828.0,2018-09-29,08:00,13.02751518,77.54976815,Minor injury,3.0,2.0,Dual carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20829.0,2018-10-01,14:00,13.00076193,77.58244111,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20830.0,2018-10-01,12:30,13.04233351,77.63659445,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20831.0,2018-09-30,11:35,13.0282744,77.63842676,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20832.0,2018-10-09,14:10,12.97112383,77.54300025,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20833.0,2018-03-14,09:26,12.98129329,77.52005451,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20834.0,2018-10-12,20:08,12.99652129,77.60882449,Minor injury,2.0,2.0,Single carriageway,Unknown,Darkness - lights lit,Karnataka,Bangalore
20835.0,2018-10-08,14:30,13.04639641,77.67300207,Minor injury,1.0,2.0,Unknown,Unknown,Daylight,Karnataka,Bangalore
20836.0,2018-10-12,18:40,13.04127046,77.56514332,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Karnataka,Bangalore
20837.0,2018-10-01,07:35,13.03482359,77.59327372,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20838.0,2018-10-12,17:47,13.02961297,77.67175438,Minor injury,2.0,3.0,Single carriageway,Raining no high winds,Daylight,Karnataka,Bangalore
20839.0,2018-10-01,16:20,12.98251709,77.6746931,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20840.0,2018-10-10,17:49,12.98442316,77.54248532,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Karnataka,Bangalore
20841.0,2018-10-17,13:27,13.00908852,77.53372672,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Karnataka,Bangalore
20842.0,2018-08-22,12:35,13.00404376,77.59098477,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Karnataka,Bangalore
