Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
23400.0,2018-10-17,18:28,8.874158228,76.64446994,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23401.0,2018-10-19,12:50,8.887559233,76.69823182,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Kerala,Kollam
23402.0,2018-10-20,08:20,8.886716143,76.6889724,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23403.0,2018-10-26,19:05,8.878393197,76.69788334,Minor injury,5.0,3.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23404.0,2018-10-26,19:37,8.878412945,76.67884109,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23405.0,2018-09-07,17:40,8.887808471,76.65176833,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Daylight,Kerala,Kollam
23406.0,2018-10-11,16:53,8.866863031,76.63752811,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23407.0,2018-10-27,06:20,8.865189423,76.63915794,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23408.0,2018-10-28,01:50,8.88426265,76.6619443,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23409.0,2018-07-05,22:05,8.866563457,76.66065062,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23410.0,2018-10-22,10:27,8.871499659,76.61773456,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Kerala,Kollam
23411.0,2018-10-25,22:30,8.881321958,76.66556364,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23412.0,2018-10-30,19:30,8.864933449,76.62992181,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23413.0,2018-10-15,21:40,8.869425853,76.6454864,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23414.0,2018-10-26,10:20,8.865087407,76.61147713,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Kerala,Kollam
23415.0,2018-10-28,21:00,8.892894726,76.63154857,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Kerala,Kollam
23416.0,2018-10-04,15:50,8.871118364,76.66113114,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23417.0,2018-10-28,08:12,8.876506224,76.61233322,Minor injury,3.0,3.0,Single carriageway,Raining no high winds,Daylight,Kerala,Kollam
23418.0,2018-10-28,22:45,8.8851713,76.62324724,Minor injury,3.0,2.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23419.0,2018-09-21,20:08,8.867016219,76.64283432,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23420.0,2018-09-29,10:50,8.877566142,76.65776587,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Kerala,Kollam
23421.0,2018-10-29,12:30,8.86703798,76.61073656,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23422.0,2018-10-29,09:56,8.893848296,76.62882097,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23423.0,2018-10-30,11:55,8.885187093,76.6369835,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23424.0,2018-11-01,16:16,8.876521843,76.68877341,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23425.0,2018-10-24,15:30,8.876700233,76.63450117,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Kerala,Kollam
23426.0,2018-10-27,12:05,8.894078846,76.64018971,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23427.0,2018-10-03,20:37,8.895496673,76.63069218,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23428.0,2018-09-14,05:50,8.877263588,76.68419949,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23429.0,2018-10-31,23:00,8.872478082,76.65146872,Minor injury,2.0,1.0,Dual carriageway,Raining no high winds,Darkness - lights lit,Kerala,Kollam
23430.0,2018-11-01,09:39,8.877448897,76.69568868,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,Kerala,Kollam
23431.0,2018-09-23,17:10,8.864894253,76.68533014,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23432.0,2018-10-26,18:10,8.865488178,76.67480331,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23433.0,2018-11-01,12:47,8.89150343,76.65960322,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23434.0,2018-07-09,22:28,8.89287105,76.62203204,Minor injury,2.0,3.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23435.0,2018-11-07,09:35,8.895056142,76.6216184,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23436.0,2018-10-08,12:00,8.894096797,76.63779771,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Kerala,Kollam
23437.0,2018-11-07,10:17,8.883505059,76.69218575,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23438.0,2018-11-08,15:52,8.878902756,76.68103061,Minor injury,3.0,2.0,Dual carriageway,Fine no high winds,Daylight,Kerala,Kollam
23439.0,2018-11-08,08:09,8.881422268,76.66966862,Minor injury,2.0,6.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23440.0,2018-11-08,17:10,8.867250818,76.69927491,Minor injury,2.0,3.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23441.0,2018-11-09,00:25,8.893830633,76.63227743,Minor injury,1.0,1.0,Dual carriageway,Raining no high winds,Darkness - lights lit,Kerala,Kollam
23442.0,2018-11-16,16:45,8.8932595,76.69815491,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23443.0,2018-11-11,17:30,8.889184076,76.66120424,Minor injury,2.0,1.0,Dual carriageway,Fine + high winds,Darkness - lights lit,Kerala,Kollam
23444.0,2018-11-03,11:08,8.870273048,76.69622449,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23445.0,2018-11-06,21:40,8.890197925,76.62192439,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Kerala,Kollam
23446.0,2018-11-16,09:10,8.880381731,76.62749893,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Kerala,Kollam
23447.0,2018-11-07,17:52,8.883763178,76.69773873,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights unlit,Kerala,Kollam
23448.0,2018-11-19,16:55,8.892727298,76.65157896,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23449.0,2018-11-09,19:56,8.874348159,76.65713025,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23450.0,2018-11-08,17:21,8.864733714,76.66159656,Minor injury,2.0,1.0,Slip road,Fine no high winds,Darkness - lights lit,Kerala,Kollam
23451.0,2018-11-10,09:30,8.894999922,76.69247164,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Kerala,Kollam
23452.0,2018-10-12,17:25,8.880213001,76.66989853,Minor injury,2.0,2.0,Dual carriageway,Raining no high winds,Daylight,Kerala,Kollam
