Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
53800.0,2018-05-15,18:20,19.08691719,72.86478234,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53801.0,2018-05-03,13:00,19.10636869,72.93076581,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53802.0,2018-04-09,16:10,19.15865526,72.89769323,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53803.0,2018-05-12,19:00,19.17845286,72.89447509,Minor injury,2.0,3.0,Dual carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53804.0,2018-05-07,02:22,19.11913626,72.83455859,Fatal,1.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Mumbai Suburban
53805.0,2018-05-16,13:00,19.06191937,72.87185452,Minor injury,2.0,1.0,One way street,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53806.0,2018-05-16,08:20,19.06750327,72.89141717,Minor injury,3.0,3.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53807.0,2018-05-16,16:37,19.06092255,72.86934166,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53808.0,2018-05-13,18:05,19.18711404,72.88332287,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53809.0,2018-05-16,14:20,19.08788606,72.90807388,Minor injury,2.0,1.0,Unknown,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53810.0,2018-05-08,12:10,19.20024323,72.86205292,Minor injury,5.0,2.0,Single carriageway,Raining + high winds,Daylight,Maharashtra,Mumbai Suburban
53811.0,2018-05-13,12:45,19.19935725,72.89472557,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53812.0,2018-05-16,08:21,19.14397107,72.83945733,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53813.0,2018-05-08,17:30,19.18358144,72.87349189,Serious injury,2.0,4.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53814.0,2018-03-14,13:20,19.05774445,72.8758592,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53815.0,2018-05-13,22:00,19.0741012,72.91854258,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Mumbai Suburban
53816.0,2018-05-11,09:15,19.16057006,72.87072706,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53817.0,2018-05-16,00:50,19.2016455,72.85379423,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Mumbai Suburban
53818.0,2018-05-06,12:50,19.07328221,72.8625808,Minor injury,2.0,1.0,Single carriageway,Unknown,Daylight,Maharashtra,Mumbai Suburban
53819.0,2018-05-15,19:10,19.0898994,72.83663299,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53820.0,2018-05-16,22:20,19.12741662,72.86581629,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Mumbai Suburban
53821.0,2018-05-14,02:00,19.19838343,72.83297587,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,Maharashtra,Mumbai Suburban
53822.0,2018-05-14,19:15,19.12159755,72.9302932,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53823.0,2018-05-15,22:28,19.14309495,72.86404689,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Mumbai Suburban
53824.0,2018-05-14,00:50,19.16779791,72.90310768,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Mumbai Suburban
53825.0,2018-05-06,22:30,19.11005146,72.91722574,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Mumbai Suburban
53826.0,2018-05-16,11:30,19.2103425,72.84728584,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53827.0,2018-05-14,08:00,19.10665722,72.83934605,Serious injury,2.0,4.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
53828.0,2018-05-03,16:10,19.09576543,72.93571499,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Mumbai Suburban
