Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33804.0,2018-08-02,13:55,28.65751678,77.19793112,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34128.0,2018-10-29,19:28,28.65368725,77.20437765,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
34130.0,2018-10-30,14:05,28.63649273,77.24377649,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34183.0,2018-11-22,17:00,28.62463923,77.25418412,Minor injury,4.0,1.0,Dual carriageway,Fog or mist,Darkness - no lighting,NCT of Delhi,Central
34251.0,2018-10-19,09:00,28.64091078,77.21206594,Minor injury,1.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,Central
34256.0,2018-10-23,05:30,28.63753444,77.24318636,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
34275.0,2018-11-10,14:55,28.65649448,77.20379297,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,Central
34301.0,2018-11-08,16:00,28.64712806,77.20969834,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34310.0,2018-11-11,16:00,28.64363423,77.24994133,Minor injury,3.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,Central
34363.0,2018-12-05,12:55,28.63982715,77.20677828,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34385.0,2018-12-09,16:00,28.64306285,77.21578279,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34451.0,2018-01-04,12:55,28.64248385,77.20730811,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34556.0,2018-01-14,15:45,28.63529596,77.25767494,Minor injury,2.0,2.0,Single carriageway,Other,Daylight,NCT of Delhi,Central
34574.0,2018-02-21,15:50,28.65109056,77.19763567,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34650.0,2018-03-25,15:15,28.64727417,77.24299798,Serious injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34733.0,2018-04-21,08:55,28.64455398,77.23800005,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34764.0,2018-04-17,21:30,28.64881756,77.18592233,Minor injury,2.0,3.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,Central
34769.0,2018-04-29,17:30,28.64767233,77.21159901,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,Central
34816.0,2018-05-12,13:05,28.64838372,77.25363977,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34838.0,2018-05-22,17:25,28.64335734,77.25534357,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34846.0,2018-05-16,10:30,28.65914556,77.19356635,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,Central
34960.0,2018-06-23,08:40,28.64976842,77.21057276,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
34980.0,2018-06-23,17:40,28.64880654,77.18699678,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35006.0,2018-07-10,13:30,28.64027335,77.19546793,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35010.0,2018-07-15,14:45,28.62878332,77.25534946,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35022.0,2018-07-18,11:30,28.63465163,77.24596515,Serious injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,Central
35132.0,2018-08-18,18:45,28.64598332,77.22532979,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35148.0,2018-09-06,21:25,28.64589066,77.25345585,Serious injury,2.0,5.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
35285.0,2018-11-01,06:50,28.64570423,77.18854518,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35288.0,2018-11-07,07:05,28.63889512,77.19760712,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35358.0,2018-11-16,17:00,28.6363947,77.23833676,Minor injury,3.0,3.0,Dual carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,Central
35406.0,2018-11-08,19:50,28.64539553,77.21562316,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
35569.0,2018-03-11,15:23,28.65674157,77.19490598,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35610.0,2018-04-02,01:30,28.63549429,77.19411914,Minor injury,3.0,1.0,Single carriageway,Unknown,Darkness - lights lit,NCT of Delhi,Central
35623.0,2018-04-03,06:15,28.64121812,77.19110892,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35730.0,2018-05-11,15:45,28.63690122,77.23487227,Minor injury,1.0,10.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35764.0,2018-05-24,17:25,28.64645314,77.20094602,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35774.0,2018-05-22,16:45,28.63765272,77.23597692,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
35803.0,2018-06-14,15:30,28.6547653,77.19151159,Minor injury,2.0,3.0,Single carriageway,Other,Daylight,NCT of Delhi,Central
35901.0,2018-07-06,12:00,28.65698205,77.192238,Minor injury,1.0,1.0,One way street,Unknown,Daylight,NCT of Delhi,Central
35995.0,2018-09-06,22:00,28.62422627,77.25647128,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
36045.0,2018-09-23,15:15,28.64057072,77.19116501,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36146.0,2018-12-06,16:30,28.63929878,77.25672426,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,Central
36152.0,2018-12-26,21:30,28.65629616,77.20208416,Minor injury,2.0,2.0,One way street,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
36207.0,2018-01-20,20:50,28.65207416,77.2114101,Minor injury,2.0,2.0,Single carriageway,Fine + high winds,Darkness - lights lit,NCT of Delhi,Central
36214.0,2018-02-03,20:25,28.64224422,77.18913257,Minor injury,3.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
36224.0,2018-02-05,09:50,28.65146096,77.21022658,Minor injury,1.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36251.0,2018-02-28,09:30,28.64798146,77.23627643,Minor injury,2.0,1.0,Dual carriageway,Snowing no high winds,Daylight,NCT of Delhi,Central
36259.0,2018-02-20,14:00,28.64638771,77.19448257,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36269.0,2018-03-02,09:10,28.64578129,77.18420826,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36284.0,2018-03-21,18:20,28.62364323,77.25624333,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36300.0,2018-04-05,12:00,28.65298101,77.20450982,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36349.0,2018-05-15,11:35,28.65095852,77.25300486,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36395.0,2018-06-05,13:58,28.63015206,77.25705226,Serious injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36523.0,2018-05-23,15:00,28.64416624,77.24715993,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36595.0,2018-11-05,12:00,28.64816201,77.23697761,Minor injury,2.0,3.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36713.0,2018-02-11,19:10,28.64764134,77.20054109,Minor injury,2.0,2.0,Dual carriageway,Raining no high winds,Darkness - no lighting,NCT of Delhi,Central
36736.0,2018-02-26,02:30,28.63723707,77.18873798,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
36746.0,2018-03-04,14:20,28.63602623,77.24693925,Serious injury,2.0,2.0,Dual carriageway,Fine + high winds,Daylight,NCT of Delhi,Central
36782.0,2018-03-09,06:50,28.64096729,77.24667534,Serious injury,2.0,1.0,Single carriageway,Fog or mist,Daylight,NCT of Delhi,Central
36803.0,2018-04-10,01:50,28.64346095,77.23585601,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
36851.0,2018-05-10,10:30,28.63437474,77.18192281,Serious injury,2.0,5.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36873.0,2018-05-20,08:10,28.64705145,77.18957967,Minor injury,2.0,3.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,Central
36882.0,2018-05-27,21:15,28.64143151,77.22861342,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
36884.0,2018-05-13,15:15,28.64598039,77.20372629,Serious injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,Central
36900.0,2018-06-01,18:10,28.64141327,77.21436034,Minor injury,5.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37069.0,2018-09-29,08:30,28.64230874,77.24600386,Minor injury,3.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37094.0,2018-08-03,10:25,28.6513892,77.20590998,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37150.0,2018-08-12,07:15,28.64922826,77.23569542,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37227.0,2018-09-21,17:50,28.63434104,77.23943694,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37272.0,2018-09-28,13:40,28.63895793,77.25773225,Minor injury,2.0,1.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,Central
37399.0,2018-10-30,14:10,28.65244311,77.20784477,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37455.0,2018-11-08,13:15,28.65239722,77.25044297,Minor injury,2.0,1.0,Dual carriageway,Raining + high winds,Daylight,NCT of Delhi,Central
37478.0,2018-11-22,12:15,28.64483005,77.24897307,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37495.0,2018-11-14,12:22,28.65193441,77.2483315,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37512.0,2018-12-01,08:50,28.63459452,77.18417761,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37585.0,2018-12-16,15:10,28.64475148,77.187553,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37602.0,2018-12-29,15:20,28.65207262,77.19028987,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37608.0,2018-12-08,10:55,28.63616192,77.2381804,Minor injury,2.0,4.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37610.0,2018-12-30,17:15,28.65199954,77.19265156,Minor injury,2.0,5.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
37656.0,2018-01-12,15:40,28.64340079,77.22131382,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37659.0,2018-01-06,10:30,28.63732346,77.24910357,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37679.0,2018-01-22,20:50,28.64123622,77.22288692,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
37738.0,2018-02-07,21:44,28.63063373,77.24770818,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
37769.0,2018-02-22,22:40,28.6503202,77.24290297,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
37830.0,2018-02-13,15:30,28.64037669,77.24888402,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37855.0,2018-03-07,12:45,28.64756697,77.24348773,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37892.0,2018-03-24,17:15,28.64662535,77.22710603,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
37909.0,2018-03-14,22:06,28.62546646,77.25668712,Serious injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,Central
37957.0,2018-04-01,15:15,28.63313136,77.25014956,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,Central
38022.0,2018-04-24,02:40,28.63671464,77.25630781,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,Central
