Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33817.0,2018-08-25,16:40,28.61496653,77.33599058,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33818.0,2018-08-24,08:45,28.66067251,77.25500641,Serious injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33820.0,2018-09-02,14:15,28.64778763,77.26596619,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33830.0,2018-09-20,18:30,28.61952401,77.32916549,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33840.0,2018-09-23,13:59,28.60528986,77.27795934,Minor injury,4.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33850.0,2018-11-09,09:00,28.65956379,77.31369113,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33861.0,2018-11-30,06:50,28.638814,77.29902362,Minor injury,1.0,1.0,Roundabout,Raining no high winds,Darkness - lights lit,NCT of Delhi,East
33873.0,2018-12-18,16:00,28.60697686,77.34586671,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,East
33887.0,2018-07-06,02:25,28.65621443,77.29949374,Serious injury,2.0,4.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,East
33894.0,2018-08-03,14:02,28.59799718,77.2954681,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33915.0,2018-11-05,17:55,28.62299352,77.33444886,Minor injury,3.0,4.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,East
33917.0,2018-11-17,08:20,28.62666192,77.33799834,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33945.0,2018-06-04,17:10,28.6073903,77.34449716,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33966.0,2018-07-30,13:40,28.57997233,77.30186624,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33969.0,2018-08-06,17:25,28.67305545,77.29715957,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33972.0,2018-08-08,17:10,28.60005896,77.29485713,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,East
33980.0,2018-08-22,09:30,28.66557586,77.28735504,Minor injury,1.0,1.0,Roundabout,Raining no high winds,Daylight,NCT of Delhi,East
34013.0,2018-10-12,09:53,28.61555619,77.31497362,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
34016.0,2018-10-16,01:50,28.6153424,77.32407625,Serious injury,1.0,3.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,East
34019.0,2018-10-12,10:00,28.6067944,77.33559773,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,East
