Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33816.0,2018-08-21,22:15,28.61390315,77.22942191,Serious injury,2.0,6.0,Dual carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
33825.0,2018-09-08,19:48,28.62137848,77.19811172,Minor injury,3.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
33833.0,2018-09-30,15:13,28.61714122,77.20365891,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
33885.0,2018-06-20,22:20,28.62842993,77.22154069,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
33892.0,2018-07-24,13:05,28.59214096,77.18050422,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
33900.0,2018-09-06,11:03,28.61168227,77.23592742,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
33931.0,2018-05-28,09:20,28.63182644,77.20095851,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
33946.0,2018-06-08,19:55,28.58840444,77.21933474,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
33954.0,2018-06-24,17:30,28.60845286,77.21919617,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
33965.0,2018-07-30,12:25,28.62782014,77.22098734,Minor injury,2.0,1.0,Single carriageway,Other,Daylight,NCT of Delhi,New Delhi
33975.0,2018-08-13,20:45,28.61381236,77.25589264,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
33983.0,2018-08-28,10:50,28.60873573,77.21682877,Minor injury,1.0,1.0,Slip road,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34000.0,2018-09-23,11:23,28.58532695,77.18800052,Fatal,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34024.0,2018-10-27,18:40,28.62321765,77.18543019,Serious injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34066.0,2018-08-19,17:50,28.60278441,77.22992854,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34071.0,2018-08-15,16:20,28.60025361,77.18041169,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34072.0,2018-08-23,15:50,28.59655069,77.22117085,Minor injury,1.0,3.0,Roundabout,Raining no high winds,Daylight,NCT of Delhi,New Delhi
34090.0,2018-09-09,09:28,28.60276343,77.2398746,Minor injury,3.0,1.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,New Delhi
34094.0,2018-09-19,14:30,28.63736586,77.22248846,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34148.0,2018-11-10,10:00,28.60264278,77.18223507,Minor injury,2.0,1.0,Unknown,Unknown,Daylight,NCT of Delhi,New Delhi
34163.0,2018-10-20,11:43,28.60197627,77.23327973,Serious injury,1.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34191.0,2018-12-23,23:12,28.60287331,77.20275448,Minor injury,1.0,1.0,Slip road,Raining no high winds,Daylight,NCT of Delhi,New Delhi
34209.0,2018-10-08,15:00,28.62452076,77.19744018,Serious injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34226.0,2018-10-03,14:15,28.63514932,77.23180523,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34237.0,2018-10-11,15:00,28.61355646,77.2188674,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34278.0,2018-10-30,16:00,28.60318461,77.21702642,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34286.0,2018-11-04,18:45,28.5964454,77.23095002,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,New Delhi
34292.0,2018-11-03,12:30,28.60357035,77.24350477,Minor injury,2.0,2.0,Roundabout,Raining no high winds,Daylight,NCT of Delhi,New Delhi
34297.0,2018-11-05,13:35,28.62308473,77.18781288,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34308.0,2018-11-08,17:50,28.61134464,77.18571241,Minor injury,2.0,1.0,Dual carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34311.0,2018-11-16,16:00,28.63049425,77.23393535,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34326.0,2018-11-13,18:01,28.59823579,77.18366635,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34330.0,2018-11-24,19:53,28.59068776,77.18921104,Fatal,1.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34334.0,2018-11-21,10:30,28.61681153,77.23180192,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34349.0,2018-12-01,17:20,28.62263151,77.22819949,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34358.0,2018-11-22,09:15,28.62673553,77.19059106,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34372.0,2018-12-05,15:10,28.59532671,77.20163124,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34393.0,2018-12-15,02:40,28.60299273,77.17997594,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34396.0,2018-12-19,15:25,28.62128172,77.20787289,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34400.0,2018-12-16,21:25,28.6116719,77.20516836,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34415.0,2018-12-23,17:10,28.61373588,77.18526524,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34421.0,2018-12-02,09:15,28.62946323,77.20788775,Minor injury,2.0,5.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,New Delhi
34466.0,2018-01-18,18:15,28.63404328,77.21520144,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34468.0,2018-01-18,18:20,28.6229756,77.23677626,Minor injury,2.0,3.0,Single carriageway,Raining + high winds,Darkness - lights unlit,NCT of Delhi,New Delhi
34473.0,2018-01-20,15:30,28.5906705,77.22179539,Minor injury,2.0,2.0,One way street,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34475.0,2018-01-23,10:05,28.63483595,77.21612093,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34504.0,2018-02-01,06:45,28.61888029,77.21504206,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34506.0,2018-02-05,13:12,28.59543773,77.17468478,Minor injury,2.0,2.0,Slip road,Other,Daylight,NCT of Delhi,New Delhi
34523.0,2018-02-04,01:19,28.59927068,77.19806725,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,New Delhi
34524.0,2018-02-06,19:10,28.59862969,77.23703509,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34526.0,2018-02-10,16:45,28.61388126,77.21947469,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34541.0,2018-02-11,22:30,28.60464621,77.19535234,Minor injury,3.0,1.0,Slip road,Raining no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34557.0,2018-02-23,07:20,28.62025477,77.20993312,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34564.0,2018-02-02,06:45,28.60909897,77.194636,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34581.0,2018-03-04,21:10,28.60023452,77.21668961,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34607.0,2018-03-08,17:53,28.62525696,77.24892439,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34630.0,2018-03-15,15:50,28.62842113,77.19422454,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34647.0,2018-03-13,21:50,28.60449543,77.23935287,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,New Delhi
34682.0,2018-04-03,16:55,28.6141946,77.18937894,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34693.0,2018-05-04,13:30,28.61286242,77.20688732,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34708.0,2018-04-09,09:15,28.62334268,77.252026,Serious injury,1.0,1.0,Single carriageway,Fine + high winds,Daylight,NCT of Delhi,New Delhi
34709.0,2018-03-18,15:00,28.61209349,77.25485565,Minor injury,4.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
34715.0,2018-04-04,14:05,28.58305362,77.20222689,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,New Delhi
