Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33806.0,2018-08-03,17:38,28.65692194,77.23336101,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North
33823.0,2018-09-06,16:55,28.66942131,77.1965841,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North
33865.0,2018-12-03,00:54,28.68846815,77.21230492,Minor injury,1.0,1.0,Roundabout,Raining no high winds,Darkness - lights lit,NCT of Delhi,North
33895.0,2018-07-13,13:16,28.68524933,77.19289127,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North
33899.0,2018-09-03,18:45,28.67088319,77.17670673,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North
33901.0,2018-09-06,16:30,28.68333193,77.1928709,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North
33963.0,2018-07-22,08:45,28.66854966,77.22536706,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North
33970.0,2018-08-09,16:54,28.65456984,77.2475288,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North
33974.0,2018-08-13,03:05,28.65021681,77.22200891,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North
33997.0,2018-09-21,17:30,28.67245338,77.23698971,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North
34031.0,2018-11-05,14:00,28.72071015,77.23358593,Serious injury,2.0,1.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,North
34037.0,2018-11-19,23:44,28.71354833,77.22440607,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North
34080.0,2018-08-28,16:54,28.72521939,77.23647812,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North
34092.0,2018-09-14,12:36,28.68939162,77.20941419,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North
34097.0,2018-09-24,23:10,28.66101799,77.23676893,Serious injury,1.0,2.0,Dual carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,North
34111.0,2018-10-09,14:20,28.66472735,77.20644676,Minor injury,1.0,3.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North
34180.0,2018-12-04,08:04,28.67775466,77.19314433,Serious injury,2.0,3.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,North
