Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33824.0,2018-09-07,15:43,28.70794295,77.3251306,Minor injury,3.0,4.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
33834.0,2018-10-01,13:00,28.71769253,77.27522544,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
33835.0,2018-10-04,22:05,28.66665009,77.25542286,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
33836.0,2018-10-06,18:20,28.7066325,77.26426215,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
33847.0,2018-10-20,08:42,28.68485013,77.31044121,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
33864.0,2018-12-02,12:10,28.69339779,77.27257932,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
33869.0,2018-12-07,17:45,28.71017452,77.27671448,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights unlit,NCT of Delhi,North East
33890.0,2018-07-14,02:29,28.69880041,77.28546929,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
33903.0,2018-09-11,16:20,28.71960798,77.28200558,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
33906.0,2018-09-15,17:23,28.70723553,77.33009751,Minor injury,2.0,3.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
33913.0,2018-10-27,13:17,28.6882541,77.25647742,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
33928.0,2018-05-10,16:05,28.69413744,77.26983617,Minor injury,2.0,4.0,Unknown,Fine no high winds,Daylight,NCT of Delhi,North East
33934.0,2018-06-02,01:05,28.72565107,77.25878639,Minor injury,1.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North East
33935.0,2018-05-19,07:45,28.6946702,77.31259305,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,North East
33939.0,2018-05-23,00:10,28.68913763,77.30124778,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,North East
33979.0,2018-08-20,23:45,28.6776753,77.30986024,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
33981.0,2018-08-24,18:35,28.71816527,77.28169939,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34009.0,2018-10-08,16:25,28.6814701,77.31517347,Minor injury,2.0,4.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34041.0,2018-11-28,13:00,28.699113,77.24902328,Minor injury,2.0,1.0,Single carriageway,Snowing no high winds,Daylight,NCT of Delhi,North East
34042.0,2018-11-28,14:25,28.70440635,77.32404011,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34056.0,2018-08-09,02:12,28.72154066,77.28862621,Serious injury,1.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34059.0,2018-08-13,02:54,28.68866578,77.28609322,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,North East
34070.0,2018-08-21,15:20,28.69518015,77.29542276,Serious injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34073.0,2018-08-24,07:35,28.70649794,77.25426586,Minor injury,2.0,1.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
34091.0,2018-07-07,19:01,28.69159247,77.25277545,Minor injury,2.0,1.0,Dual carriageway,Unknown,Daylight,NCT of Delhi,North East
34112.0,2018-10-10,09:00,28.70575915,77.24513318,Minor injury,2.0,4.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34118.0,2018-10-19,06:57,28.67516896,77.26872709,Serious injury,5.0,5.0,Dual carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North East
34127.0,2018-10-28,14:00,28.6821815,77.28537142,Minor injury,7.0,6.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
34133.0,2018-11-01,11:07,28.67427216,77.24637986,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34149.0,2018-11-10,12:26,28.6815604,77.27760377,Minor injury,1.0,3.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34157.0,2018-11-11,18:48,28.68030673,77.28231923,Minor injury,2.0,1.0,Dual carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North East
34159.0,2018-11-15,16:17,28.67807366,77.25331213,Minor injury,2.0,3.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34212.0,2018-10-02,15:12,28.72546384,77.26875895,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34217.0,2018-10-10,18:30,28.72122988,77.24938773,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34228.0,2018-10-19,16:00,28.67635315,77.31243986,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34235.0,2018-10-09,00:05,28.67848777,77.30919663,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34242.0,2018-10-19,21:05,28.70539539,77.30698536,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34244.0,2018-10-18,22:30,28.66930063,77.26017705,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34254.0,2018-10-11,15:30,28.70393882,77.27088407,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34268.0,2018-10-28,15:00,28.67507723,77.33071382,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34282.0,2018-11-03,17:30,28.69899141,77.30790406,Minor injury,2.0,3.0,Dual carriageway,Raining + high winds,Darkness - lights lit,NCT of Delhi,North East
34305.0,2018-11-13,16:30,28.70841087,77.32845805,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34314.0,2018-11-14,18:20,28.69980427,77.30107322,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34322.0,2018-11-13,08:20,28.6786675,77.28285042,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34323.0,2018-11-18,20:00,28.70154658,77.25472342,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34332.0,2018-11-20,11:00,28.71687529,77.25767378,Minor injury,2.0,1.0,Single carriageway,Other,Daylight,NCT of Delhi,North East
34333.0,2018-11-01,18:10,28.681858,77.30787865,Fatal,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34345.0,2018-12-03,01:13,28.66855423,77.26541796,Serious injury,4.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North East
34353.0,2018-11-22,15:00,28.67600154,77.25368055,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34362.0,2018-12-05,08:45,28.69105924,77.31470313,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
34376.0,2018-12-06,08:45,28.6640448,77.25899201,Serious injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34388.0,2018-12-15,01:40,28.71900391,77.26131408,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34401.0,2018-12-16,23:32,28.72009316,77.29363167,Minor injury,2.0,1.0,Single carriageway,Fine + high winds,Daylight,NCT of Delhi,North East
34417.0,2018-12-18,19:50,28.68385549,77.31126695,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North East
34437.0,2018-12-16,20:00,28.70823617,77.28651551,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34453.0,2018-01-12,18:55,28.70066872,77.27039296,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34455.0,2018-01-11,15:20,28.7053949,77.32647869,Minor injury,3.0,2.0,Single carriageway,Fine + high winds,Daylight,NCT of Delhi,North East
34499.0,2018-01-29,19:10,28.70975366,77.27790498,Serious injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - no lighting,NCT of Delhi,North East
34521.0,2018-02-07,13:00,28.69960997,77.24837334,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34546.0,2018-02-17,13:45,28.7076268,77.31083753,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34569.0,2018-02-28,09:00,28.68421633,77.26864829,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34599.0,2018-03-05,16:35,28.68237959,77.3146625,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34601.0,2018-03-07,13:50,28.70047108,77.32561274,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34627.0,2018-03-15,19:30,28.67787606,77.2799941,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34633.0,2018-03-10,15:40,28.66836192,77.25485909,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34636.0,2018-03-18,15:55,28.6996002,77.27388161,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34660.0,2018-03-28,16:05,28.68422862,77.28914627,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34668.0,2018-03-25,23:50,28.71659424,77.26253193,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34676.0,2018-04-03,21:10,28.6714885,77.2571579,Minor injury,3.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North East
34727.0,2018-04-08,21:05,28.68268666,77.2626945,Serious injury,1.0,3.0,Single carriageway,Fine + high winds,Darkness - no lighting,NCT of Delhi,North East
34737.0,2018-04-19,21:05,28.68941283,77.2717476,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34742.0,2018-04-21,07:30,28.70460526,77.30940942,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34782.0,2018-04-28,10:20,28.68345017,77.33163356,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34783.0,2018-05-01,14:00,28.68340999,77.33691985,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,North East
34788.0,2018-04-29,19:30,28.72522922,77.27346637,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34794.0,2018-04-17,13:55,28.69819056,77.32135253,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
34808.0,2018-05-19,13:40,28.67868022,77.25330873,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34810.0,2018-05-10,19:10,28.7196977,77.28942299,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34820.0,2018-05-15,13:00,28.70675394,77.32656189,Minor injury,2.0,2.0,Dual carriageway,Unknown,Daylight,NCT of Delhi,North East
34829.0,2018-05-25,18:08,28.68139277,77.31925328,Serious injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34836.0,2018-05-19,15:30,28.7105022,77.26451746,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34841.0,2018-05-23,10:15,28.70863263,77.32056594,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34843.0,2018-05-18,10:00,28.70987537,77.26205297,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,North East
34854.0,2018-05-26,13:45,28.68468328,77.24857918,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34857.0,2018-05-23,15:10,28.72213114,77.28313265,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North East
34858.0,2018-05-07,21:30,28.70358742,77.29226624,Serious injury,1.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North East
34861.0,2018-05-22,16:45,28.7130635,77.27119621,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,North East
