Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33803.0,2018-08-07,14:20,28.69563491,77.07244217,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
33807.0,2018-08-15,19:10,28.70247603,77.21149217,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
33809.0,2018-08-20,22:40,28.71290037,77.20883646,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
33810.0,2018-08-25,17:11,28.70224906,77.21197252,Minor injury,2.0,1.0,One way street,Fine no high winds,Daylight,NCT of Delhi,North West
33815.0,2018-08-11,02:25,28.72601261,77.09086864,Serious injury,1.0,2.0,Roundabout,Fine no high winds,Darkness - lights lit,NCT of Delhi,North West
33822.0,2018-09-01,17:35,28.7235835,77.09396378,Minor injury,2.0,1.0,Single carriageway,Unknown,Darkness - lighting unknown,NCT of Delhi,North West
33829.0,2018-09-18,13:05,28.69749441,77.06096034,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
33841.0,2018-10-11,15:09,28.6896678,77.20098391,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
33848.0,2018-11-05,02:57,28.70056748,77.11287618,Minor injury,1.0,5.0,Dual carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North West
33852.0,2018-11-13,15:10,28.70475679,77.21925365,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
33857.0,2018-11-20,16:15,28.69257834,77.16777531,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,North West
33884.0,2018-06-05,00:15,28.70877362,77.19243509,Serious injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North West
33902.0,2018-09-07,15:00,28.70210572,77.08878729,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
33912.0,2018-10-12,18:28,28.71291714,77.15959087,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,North West
33929.0,2018-05-21,20:05,28.70632075,77.06427042,Serious injury,2.0,3.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,North West
33937.0,2018-05-20,12:45,28.69821152,77.06100519,Minor injury,2.0,2.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,North West
33938.0,2018-05-23,17:05,28.71038156,77.16711094,Minor injury,2.0,1.0,Unknown,Fine no high winds,Daylight,NCT of Delhi,North West
33940.0,2018-05-26,17:20,28.71374017,77.11154681,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,North West
