Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33812.0,2018-08-25,19:40,28.56924481,77.2278093,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33827.0,2018-08-28,16:53,28.56914224,77.24249616,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33828.0,2018-09-13,18:00,28.56980297,77.23503427,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33846.0,2018-10-22,01:48,28.56023086,77.27651829,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
33849.0,2018-11-09,13:15,28.54036202,77.2488459,Minor injury,2.0,4.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33856.0,2018-11-20,19:02,28.54562824,77.30209876,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
33866.0,2018-12-03,23:27,28.55125569,77.24564221,Minor injury,2.0,2.0,Roundabout,Raining no high winds,Darkness - lights lit,NCT of Delhi,South
33889.0,2018-07-24,21:15,28.54657821,77.30329653,Minor injury,2.0,5.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,South
33893.0,2018-07-31,13:05,28.5727313,77.28006107,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33910.0,2018-10-03,22:40,28.54904151,77.28979729,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
33911.0,2018-10-06,12:35,28.53789649,77.26312125,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33914.0,2018-10-31,15:40,28.54873375,77.29636302,Minor injury,4.0,7.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33923.0,2018-12-15,12:40,28.55972549,77.21378009,Serious injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33927.0,2018-05-07,08:15,28.53973342,77.27771696,Minor injury,2.0,1.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,South
33933.0,2018-06-03,16:40,28.55776837,77.22170117,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33952.0,2018-07-09,15:12,28.60293221,77.2581557,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33957.0,2018-07-01,22:30,28.54514624,77.20584325,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,South
33964.0,2018-07-22,20:00,28.5529403,77.29738781,Minor injury,2.0,1.0,Unknown,Fine no high winds,Daylight,NCT of Delhi,South
33987.0,2018-09-06,08:50,28.56099426,77.22981959,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33991.0,2018-06-13,00:10,28.57140033,77.22065528,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
33993.0,2018-09-15,12:00,28.53674228,77.30550387,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34003.0,2018-09-24,18:12,28.55864122,77.26879639,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34004.0,2018-09-27,16:00,28.54496492,77.30163123,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34015.0,2018-10-14,14:05,28.55037173,77.27426467,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34034.0,2018-11-12,09:10,28.5562384,77.26552853,Minor injury,1.0,1.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,South
34040.0,2018-11-27,12:30,28.55738328,77.26560693,Minor injury,2.0,3.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,South
34055.0,2018-08-26,20:20,28.54341029,77.21726767,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34061.0,2018-08-13,11:10,28.5507448,77.27744903,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34068.0,2018-08-20,00:35,28.55003244,77.19467844,Minor injury,1.0,1.0,Roundabout,Fine no high winds,Darkness - no lighting,NCT of Delhi,South
34076.0,2018-08-25,21:13,28.56706548,77.21623221,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,South
34077.0,2018-08-26,07:25,28.54263483,77.26243172,Minor injury,1.0,1.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,South
34082.0,2018-08-30,18:00,28.54345897,77.22931253,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34096.0,2018-09-21,16:20,28.55121752,77.26564219,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34106.0,2018-10-06,10:35,28.55685697,77.25770232,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34123.0,2018-10-26,22:10,28.53592403,77.23470087,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,South
34126.0,2018-10-28,13:00,28.53630074,77.26475257,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34143.0,2018-11-07,08:36,28.57293158,77.258708,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,South
34156.0,2018-11-15,15:55,28.54658461,77.21373802,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34165.0,2018-11-21,12:12,28.54150076,77.27228671,Minor injury,6.0,1.0,Dual carriageway,Fog or mist,Daylight,NCT of Delhi,South
34170.0,2018-11-23,21:23,28.55003054,77.22570435,Serious injury,1.0,5.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34177.0,2018-12-01,07:56,28.55468515,77.21511507,Minor injury,7.0,4.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,South
34187.0,2018-12-14,22:10,28.54738051,77.22976584,Serious injury,1.0,2.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34193.0,2018-12-27,11:47,28.56526519,77.23018871,Minor injury,3.0,3.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34199.0,2018-12-29,10:54,28.5626537,77.29088665,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34211.0,2018-10-06,12:06,28.55986196,77.27697677,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34213.0,2018-10-08,15:35,28.58972328,77.24466852,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34224.0,2018-10-11,15:30,28.55161116,77.27367177,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34246.0,2018-10-17,07:50,28.56939542,77.28599965,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34253.0,2018-10-13,02:00,28.53957104,77.28930694,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34257.0,2018-10-20,08:44,28.57318026,77.24159342,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34258.0,2018-10-22,11:50,28.54070819,77.26831329,Minor injury,2.0,2.0,Dual carriageway,Raining no high winds,Daylight,NCT of Delhi,South
34272.0,2018-11-04,12:00,28.54146222,77.22193877,Minor injury,2.0,1.0,Single carriageway,Raining + high winds,Daylight,NCT of Delhi,South
34277.0,2018-10-27,10:24,28.552786,77.19492227,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34279.0,2018-10-27,14:25,28.5653317,77.21712355,Serious injury,1.0,1.0,Single carriageway,Fine + high winds,Daylight,NCT of Delhi,South
34287.0,2018-10-31,14:04,28.56060256,77.25440256,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34319.0,2018-10-30,12:20,28.58964774,77.2554415,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34344.0,2018-11-28,22:35,28.55958305,77.21726094,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34346.0,2018-12-04,17:15,28.5510206,77.30046408,Fatal,2.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,South
34352.0,2018-11-26,21:10,28.60248456,77.26855221,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34354.0,2018-11-29,08:50,28.57088367,77.27494846,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34366.0,2018-12-06,21:40,28.54878874,77.2998206,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34368.0,2018-12-07,01:00,28.56174768,77.28109929,Serious injury,2.0,3.0,Single carriageway,Other,Darkness - lights lit,NCT of Delhi,South
34373.0,2018-12-09,17:40,28.57843704,77.26323373,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34384.0,2018-12-12,08:10,28.58676411,77.25365931,Minor injury,1.0,1.0,Unknown,Unknown,Daylight,NCT of Delhi,South
34392.0,2018-12-16,07:55,28.57342524,77.24181604,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34403.0,2018-12-26,19:22,28.56498587,77.29286055,Serious injury,2.0,4.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34406.0,2018-12-22,17:25,28.55365814,77.2417073,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34408.0,2018-12-20,16:40,28.57242962,77.30360363,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34416.0,2018-11-22,10:29,28.57783619,77.22810198,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34419.0,2018-12-23,12:40,28.56675972,77.29316868,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South
34436.0,2018-12-25,17:30,28.56427426,77.29326419,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,NCT of Delhi,South
34438.0,2018-12-07,20:50,28.57123141,77.29142612,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34447.0,2018-01-08,20:25,28.57271651,77.28124408,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South
34464.0,2018-01-17,08:42,28.53261449,77.18956239,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,South
