Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
18216.0,2018-08-23,13:53,28.5027026,77.1008914,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
18319.0,2018-11-21,13:23,28.50397548,77.09857872,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
18397.0,2018-04-21,12:49,28.50550282,77.09664044,Fatal,1.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
18489.0,2018-08-04,14:15,28.50254309,77.10144277,Serious injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
18562.0,2018-11-06,21:15,28.50409228,77.10281773,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South West
18566.0,2018-01-03,22:35,28.50694094,77.09598776,Fatal,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South West
18609.0,2018-01-24,19:25,28.50565796,77.09736317,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South West
18657.0,2018-02-19,17:06,28.50667254,77.09504259,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
19102.0,2018-05-03,08:15,28.50862727,77.09264808,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
19110.0,2018-05-18,10:29,28.50419898,77.09875684,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
19209.0,2018-08-04,18:05,28.50777723,77.10441018,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
19475.0,2018-02-10,11:00,28.50000184,77.10499081,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,NCT of Delhi,South West
19501.0,2018-02-16,18:15,28.50055563,77.10421648,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South West
19515.0,2018-02-27,00:22,28.49825224,77.1038521,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South West
19580.0,2018-03-30,11:02,28.50801694,77.10594257,Minor injury,2.0,1.0,Single carriageway,Other,Daylight,NCT of Delhi,South West
19942.0,2018-09-16,18:06,28.5059358,77.09825321,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
20001.0,2018-10-19,17:55,28.50503633,77.09822761,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,South West
20028.0,2018-11-02,09:10,28.50570976,77.10007904,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
20035.0,2018-10-28,10:37,28.50107403,77.09988878,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
20165.0,2018-11-17,20:40,28.50241172,77.10287785,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South West
20453.0,2018-10-15,13:28,28.50720528,77.10523145,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
20486.0,2018-11-30,17:23,28.50258554,77.10555163,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,South West
20612.0,2018-04-03,13:10,28.49789677,77.10496423,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
20755.0,2018-08-02,19:11,28.5073428,77.10203777,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
33801.0,2018-08-04,16:55,28.58985244,77.10374208,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
33802.0,2018-08-06,14:25,28.59723969,77.09040135,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,NCT of Delhi,South West
