Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33813.0,2018-08-26,12:35,28.65963661,77.07919179,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,NCT of Delhi,West
33838.0,2018-10-11,18:50,28.66507148,77.0673953,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,West
33845.0,2018-09-30,15:40,28.6215168,77.07720944,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33853.0,2018-11-13,11:50,28.65108765,77.18443602,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33854.0,2018-11-16,15:45,28.67545852,77.07460487,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33858.0,2018-11-25,15:38,28.67478491,77.11883743,Minor injury,2.0,4.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,West
33859.0,2018-11-29,12:40,28.63515613,77.12828888,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33863.0,2018-12-02,23:46,28.68196868,77.06775964,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,NCT of Delhi,West
33868.0,2018-12-06,22:10,28.66254677,77.16176156,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,NCT of Delhi,West
33874.0,2018-12-23,13:55,28.62884147,77.05796215,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33876.0,2018-12-27,16:00,28.66010368,77.06655881,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33881.0,2018-05-16,16:45,28.66491167,77.12884301,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33898.0,2018-08-29,20:40,28.62939944,77.12268655,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33904.0,2018-09-07,16:00,28.67705735,77.05928114,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
33908.0,2018-09-27,16:50,28.67482336,77.06686602,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,NCT of Delhi,West
