Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
28600.0,2018-12-04,21:14,26.45397573,74.63169916,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Rajasthan,Ajmer
28601.0,2018-12-19,13:00,26.45663921,74.65453201,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28602.0,2018-12-17,17:42,26.45804656,74.63605503,Serious injury,2.0,7.0,Single carriageway,Fine no high winds,Darkness - no lighting,Rajasthan,Ajmer
28603.0,2018-12-17,11:33,26.46815835,74.64799197,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28604.0,2018-12-17,11:30,26.45802259,74.65546031,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28605.0,2018-11-18,09:25,26.45507366,74.64610462,Minor injury,2.0,1.0,Dual carriageway,Fog or mist,Daylight,Rajasthan,Ajmer
28606.0,2018-12-19,14:25,26.459881,74.64979302,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28607.0,2018-10-20,09:00,26.46281504,74.65076464,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28608.0,2018-11-10,17:10,26.46710426,74.63862935,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28609.0,2018-12-18,17:09,26.46443533,74.65038582,Minor injury,2.0,5.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Rajasthan,Ajmer
28610.0,2018-12-16,17:35,26.46541084,74.65537012,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Darkness - no lighting,Rajasthan,Ajmer
28611.0,2018-12-21,16:34,26.46177043,74.63870375,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Rajasthan,Ajmer
28612.0,2018-12-21,16:20,26.46637635,74.64681727,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Darkness - lights lit,Rajasthan,Ajmer
28613.0,2018-12-01,15:45,26.47039061,74.64695183,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28614.0,2018-11-25,16:18,26.46889431,74.63975718,Serious injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - no lighting,Rajasthan,Ajmer
28615.0,2018-12-15,15:25,26.46882524,74.65541275,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28616.0,2018-12-21,12:25,26.47242413,74.65579052,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Rajasthan,Ajmer
28617.0,2018-12-21,18:59,26.46344554,74.6486915,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Rajasthan,Ajmer
