Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33805.0,2018-08-05,03:15,28.65612517,77.36621584,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - no lighting,Uttar Pradesh,Gautam Buddha Nagar
33843.0,2018-10-20,18:43,28.63521215,77.33896565,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
33855.0,2018-11-20,11:58,28.55808201,77.35113107,Serious injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33870.0,2018-12-08,17:20,28.541326,77.34381364,Minor injury,1.0,1.0,Single carriageway,Unknown,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
33871.0,2018-10-21,18:00,28.57162026,77.30939437,Minor injury,2.0,2.0,Single carriageway,Unknown,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33875.0,2018-12-24,06:40,28.54983717,77.362135,Minor injury,2.0,1.0,Single carriageway,Unknown,Darkness - lighting unknown,Uttar Pradesh,Gautam Buddha Nagar
33878.0,2018-05-04,10:55,28.57126792,77.33882515,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33879.0,2018-05-04,10:30,28.64768889,77.36650629,Minor injury,2.0,1.0,Single carriageway,Unknown,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33880.0,2018-05-08,18:03,28.56376137,77.35907751,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33886.0,2018-07-01,16:50,28.55814055,77.34268691,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33888.0,2018-07-02,10:30,28.57471221,77.32528542,Minor injury,2.0,4.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33897.0,2018-08-24,18:00,28.60575692,77.36729137,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33921.0,2018-12-02,17:10,28.60650452,77.36563918,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
33925.0,2018-12-24,04:18,28.58868105,77.36030586,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33949.0,2018-06-14,10:17,28.53984292,77.32791719,Minor injury,2.0,3.0,Unknown,Raining no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33958.0,2018-07-03,18:20,28.58523058,77.35028874,Minor injury,2.0,1.0,Single carriageway,Unknown,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33973.0,2018-08-09,15:30,28.53982098,77.33761567,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
33978.0,2018-08-19,01:45,28.55140439,77.36259725,Serious injury,1.0,5.0,Single carriageway,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
34005.0,2018-09-30,17:51,28.53769147,77.34740973,Minor injury,2.0,3.0,Single carriageway,Raining no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34006.0,2018-09-29,07:30,28.6450785,77.36709441,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34007.0,2018-10-01,17:20,28.53421776,77.36246913,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34011.0,2018-10-09,11:57,28.54365789,77.37198049,Minor injury,2.0,2.0,Slip road,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34025.0,2018-10-28,11:10,28.59852915,77.35983624,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34026.0,2018-10-28,18:22,28.66054576,77.36685475,Minor injury,2.0,1.0,Slip road,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
34028.0,2018-11-02,14:20,28.61838637,77.35557743,Minor injury,1.0,1.0,One way street,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34047.0,2018-12-13,16:40,28.56780888,77.33222879,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34069.0,2018-08-21,02:38,28.60465475,77.36250805,Fatal,2.0,2.0,Dual carriageway,Fine no high winds,Darkness - no lighting,Uttar Pradesh,Gautam Buddha Nagar
34078.0,2018-08-26,16:16,28.54035874,77.36545057,Minor injury,4.0,3.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34083.0,2018-08-30,10:54,28.58418261,77.34205716,Serious injury,1.0,3.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34086.0,2018-09-03,11:45,28.54363004,77.35905731,Minor injury,1.0,2.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34117.0,2018-10-18,07:40,28.56371807,77.369081,Minor injury,2.0,1.0,Slip road,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34124.0,2018-10-26,13:00,28.57260938,77.33676947,Minor injury,2.0,1.0,Slip road,Raining no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34131.0,2018-10-29,14:37,28.66165977,77.36326676,Fatal,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34134.0,2018-11-01,11:00,28.6575441,77.33702691,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34137.0,2018-11-02,12:55,28.55757743,77.31220904,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34138.0,2018-11-05,12:45,28.56501357,77.36500567,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34141.0,2018-11-06,16:00,28.67678322,77.37096418,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34142.0,2018-11-07,21:38,28.63473417,77.33366727,Minor injury,3.0,1.0,Dual carriageway,Fine + high winds,Darkness - no lighting,Uttar Pradesh,Gautam Buddha Nagar
34146.0,2018-11-09,08:20,28.6618566,77.35985178,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34153.0,2018-11-12,10:31,28.64931106,77.33716555,Minor injury,4.0,2.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34160.0,2018-11-18,15:21,28.58984734,77.36583081,Minor injury,3.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34173.0,2018-11-24,12:17,28.57220902,77.34735862,Minor injury,1.0,1.0,Slip road,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34179.0,2018-12-01,13:18,28.63040802,77.34325756,Minor injury,3.0,2.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34184.0,2018-12-12,08:25,28.57130235,77.36774961,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34218.0,2018-10-03,16:30,28.56472047,77.3404042,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34221.0,2018-10-10,15:15,28.57644843,77.3175733,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34223.0,2018-10-11,08:50,28.6231534,77.34956997,Minor injury,2.0,1.0,Roundabout,Raining no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34229.0,2018-10-12,17:30,28.65103819,77.33504519,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34232.0,2018-10-17,16:20,28.5813957,77.3574289,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34260.0,2018-10-24,15:40,28.58122897,77.33770453,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34264.0,2018-11-02,18:55,28.66027863,77.32964645,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
34266.0,2018-11-05,17:30,28.57317822,77.36110685,Minor injury,4.0,2.0,Dual carriageway,Raining no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
34269.0,2018-10-01,10:40,28.56376758,77.34461199,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34289.0,2018-10-29,15:50,28.5405223,77.32512448,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34296.0,2018-11-05,11:30,28.54558497,77.3153574,Minor injury,3.0,1.0,Single carriageway,Raining no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34302.0,2018-11-11,09:45,28.55539401,77.34690599,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34312.0,2018-11-14,08:45,28.63619335,77.36806983,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34328.0,2018-11-17,09:05,28.57209419,77.34305659,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34335.0,2018-11-22,18:05,28.6176021,77.37083659,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
34350.0,2018-11-28,08:00,28.66514083,77.32833096,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34351.0,2018-11-29,17:30,28.56757574,77.36753899,Minor injury,2.0,1.0,Slip road,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34359.0,2018-11-28,08:40,28.56036183,77.31961825,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34371.0,2018-12-10,12:05,28.57898524,77.30794614,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34377.0,2018-12-05,18:00,28.64319427,77.36473137,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Uttar Pradesh,Gautam Buddha Nagar
34394.0,2018-12-10,16:00,28.59150357,77.34161117,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
34435.0,2018-12-31,13:00,28.56256449,77.32344113,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Gautam Buddha Nagar
