Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
33800.0,2018-08-04,02:10,28.72829264,77.29775265,Serious injury,1.0,4.0,Single carriageway,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Ghaziabad
33819.0,2018-08-30,15:00,28.70618969,77.29987846,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
33832.0,2018-09-22,16:35,28.68673602,77.33778166,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
33844.0,2018-10-21,18:17,28.72366283,77.33971985,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Uttar Pradesh,Ghaziabad
33862.0,2018-12-02,17:30,28.70885592,77.35093684,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Ghaziabad
33896.0,2018-06-26,12:00,28.69754634,77.35910187,Minor injury,4.0,2.0,Single carriageway,Unknown,Daylight,Uttar Pradesh,Ghaziabad
33919.0,2018-11-24,13:00,28.70656717,77.3431645,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
33943.0,2018-06-26,10:30,28.7211532,77.31845626,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
33989.0,2018-09-08,10:20,28.7142882,77.30350228,Serious injury,1.0,1.0,Roundabout,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
33990.0,2018-09-10,16:30,28.72838391,77.31219052,Fatal,1.0,3.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
33999.0,2018-09-21,16:45,28.70500535,77.33739583,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
34020.0,2018-10-19,07:40,28.72309599,77.33908015,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights unlit,Uttar Pradesh,Ghaziabad
34038.0,2018-11-25,15:16,28.72814486,77.35605959,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
34045.0,2018-12-06,06:58,28.71835888,77.36092591,Serious injury,1.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Uttar Pradesh,Ghaziabad
34046.0,2018-12-07,08:12,28.70600199,77.33699339,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
34088.0,2018-09-07,12:50,28.70063344,77.3354593,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
34101.0,2018-09-21,08:40,28.70628158,77.35845424,Minor injury,2.0,1.0,Dual carriageway,Unknown,Darkness - no lighting,Uttar Pradesh,Ghaziabad
34113.0,2018-10-10,12:40,28.70379554,77.3464065,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Ghaziabad
34140.0,2018-11-06,07:34,28.68386338,77.36319202,Minor injury,3.0,1.0,Dual carriageway,Raining no high winds,Daylight,Uttar Pradesh,Ghaziabad
34151.0,2018-11-11,16:08,28.72251386,77.30880815,Minor injury,4.0,2.0,Dual carriageway,Fine + high winds,Daylight,Uttar Pradesh,Ghaziabad
