Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
10400.0,2018-05-31,18:57,22.0645853,82.15735977,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10401.0,2018-05-31,08:29,22.07735454,82.12893972,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10402.0,2018-06-08,08:18,22.1055898,82.16078577,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10403.0,2018-06-08,15:00,22.0588691,82.10889733,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10404.0,2018-06-10,17:08,22.09014163,82.16561535,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10405.0,2018-06-15,16:10,22.05179078,82.12059089,Minor injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10406.0,2018-06-16,17:50,22.06346816,82.18889472,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10407.0,2018-05-16,09:50,22.0925808,82.14594388,Minor injury,2.0,1.0,Single carriageway,Fine + high winds,Daylight,Chhattisgarh,Bilaspur
10408.0,2018-06-18,19:35,22.0811582,82.11639496,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10409.0,2018-06-17,11:24,22.06221998,82.17692392,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10410.0,2018-06-18,11:32,22.05355478,82.13238312,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10411.0,2018-06-19,18:50,22.08755079,82.1208692,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10412.0,2018-06-19,16:32,22.07068749,82.1682219,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10413.0,2018-06-19,05:10,22.04892593,82.12769678,Minor injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10414.0,2018-06-20,08:25,22.07356202,82.17036126,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10415.0,2018-06-21,13:42,22.10437433,82.1671087,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10416.0,2018-06-21,10:49,22.08058409,82.15608747,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10417.0,2018-06-21,15:40,22.06998209,82.19687447,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10418.0,2018-06-21,15:50,22.0594786,82.15530585,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10419.0,2018-06-21,17:18,22.0954925,82.17663592,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10420.0,2018-06-22,15:40,22.05456244,82.11534092,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10421.0,2018-06-22,10:02,22.07658275,82.16871021,Serious injury,1.0,3.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10422.0,2018-06-22,17:40,22.08095539,82.11965745,Serious injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10423.0,2018-06-23,11:35,22.07797235,82.19195193,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10424.0,2018-06-23,16:35,22.09937947,82.1414994,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10425.0,2018-06-24,13:10,22.05527681,82.14877178,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10426.0,2018-06-24,23:40,22.05413715,82.16158483,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Chhattisgarh,Bilaspur
10427.0,2018-06-26,06:18,22.06578978,82.12034555,Serious injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10428.0,2018-06-26,19:20,22.10078794,82.13716022,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10429.0,2018-06-27,13:12,22.05296837,82.16217052,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10430.0,2018-06-29,11:25,22.05715847,82.13640626,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10431.0,2018-06-29,07:51,22.09662632,82.1219343,Minor injury,4.0,3.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10432.0,2018-07-01,18:30,22.05928953,82.17755229,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10433.0,2018-07-01,19:54,22.08714859,82.13953816,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10434.0,2018-07-01,20:15,22.05603022,82.14167834,Minor injury,1.0,1.0,One way street,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10435.0,2018-07-01,16:02,22.0844234,82.13455308,Minor injury,1.0,1.0,Roundabout,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10436.0,2018-07-01,19:00,22.07790261,82.15925814,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights unlit,Chhattisgarh,Bilaspur
10437.0,2018-07-02,15:36,22.08481493,82.13472157,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Chhattisgarh,Bilaspur
10438.0,2018-07-03,19:30,22.05941228,82.1527277,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights unlit,Chhattisgarh,Bilaspur
