Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,state,district
18562.0,2018-11-06,21:15,28.50409228,77.10281773,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Delhi,
18609.0,2018-01-24,19:25,28.50565796,77.09736317,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Delhi,
19209.0,2018-08-04,18:05,28.50777723,77.10441018,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Delhi,
19580.0,2018-03-30,11:02,28.50801694,77.10594257,Minor injury,2.0,1.0,Single carriageway,Other,Daylight,Delhi,
19942.0,2018-09-16,18:06,28.5059358,77.09825321,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Delhi,
20001.0,2018-10-19,17:55,28.50503633,77.09822761,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Delhi,
20028.0,2018-11-02,09:10,28.50570976,77.10007904,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Delhi,
20453.0,2018-10-15,13:28,28.50720528,77.10523145,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
20486.0,2018-11-30,17:23,28.50258554,77.10555163,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Delhi,
20755.0,2018-08-02,19:11,28.5073428,77.10203777,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33801.0,2018-08-04,16:55,28.58985244,77.10374208,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33802.0,2018-08-06,14:25,28.59723969,77.09040135,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Delhi,
33803.0,2018-08-07,14:20,28.69563491,77.07244217,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33804.0,2018-08-02,13:55,28.65751678,77.19793112,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33806.0,2018-08-03,17:38,28.65692194,77.23336101,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33807.0,2018-08-15,19:10,28.70247603,77.21149217,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33808.0,2018-08-18,21:20,28.55979139,77.13126683,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,Delhi,
33809.0,2018-08-20,22:40,28.71290037,77.20883646,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33810.0,2018-08-25,17:11,28.70224906,77.21197252,Minor injury,2.0,1.0,One way street,Fine no high winds,Daylight,Delhi,
33811.0,2018-08-21,17:00,28.53937536,77.07609679,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33812.0,2018-08-25,19:40,28.56924481,77.2278093,Serious injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33813.0,2018-08-26,12:35,28.65963661,77.07919179,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Delhi,
33814.0,2018-08-27,09:05,28.57230804,77.16626004,Minor injury,1.0,1.0,Unknown,Fine no high winds,Daylight,Delhi,
33815.0,2018-08-11,02:25,28.72601261,77.09086864,Serious injury,1.0,2.0,Roundabout,Fine no high winds,Darkness - lights lit,Delhi,
33816.0,2018-08-21,22:15,28.61390315,77.22942191,Serious injury,2.0,6.0,Dual carriageway,Raining no high winds,Darkness - lights lit,Delhi,
33817.0,2018-08-25,16:40,28.61496653,77.33599058,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33818.0,2018-08-24,08:45,28.66067251,77.25500641,Serious injury,1.0,1.0,Dual carriageway,Fine no high winds,Daylight,Delhi,
33819.0,2018-08-30,15:00,28.70618969,77.29987846,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
33820.0,2018-09-02,14:15,28.64778763,77.26596619,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Delhi,
