Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
13000.0,2018-03-04,21:00,15.29154565,74.0217603,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Goa,South Goa
13001.0,2018-03-03,10:15,15.22824905,73.9706895,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13002.0,2018-03-05,09:30,15.19574323,74.14486612,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13003.0,2018-03-07,17:26,15.20545324,74.0823497,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13004.0,2018-03-06,10:43,15.17611997,73.9672758,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13005.0,2018-03-07,08:20,15.30389687,74.07096727,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13006.0,2018-03-07,10:10,15.24524237,74.03710936,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Goa,South Goa
13007.0,2018-03-04,07:08,15.34920599,74.00090717,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13008.0,2018-03-08,16:04,15.19440741,74.01904495,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13009.0,2018-02-08,07:25,15.29462312,74.03651827,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13010.0,2018-03-09,16:49,15.22720805,74.01646653,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13011.0,2018-03-09,08:22,15.35752814,74.11339198,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13012.0,2018-03-10,16:39,15.18163384,74.01539762,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13013.0,2018-03-10,16:00,15.18783474,74.01963791,Minor injury,1.0,3.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13014.0,2018-03-11,07:30,15.2641519,73.9699909,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13015.0,2018-03-11,00:45,15.35586337,73.96706898,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13016.0,2018-03-11,22:10,15.30663574,73.99947422,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Goa,South Goa
13017.0,2018-03-12,13:30,15.29526034,74.10005217,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13018.0,2018-03-12,09:45,15.35268349,74.02406671,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13019.0,2018-03-13,15:05,15.28487385,73.95157838,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13020.0,2018-03-13,18:01,15.2972645,74.11092865,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13021.0,2018-03-15,19:20,15.31683145,73.95402709,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13022.0,2018-03-15,18:35,15.27122004,73.97109538,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13023.0,2018-03-16,15:20,15.294166,74.03111929,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13024.0,2018-03-17,17:24,15.25768129,74.03515806,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13025.0,2018-03-17,07:30,15.22238355,74.06705779,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13026.0,2018-03-19,22:32,15.31720881,73.95377306,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13027.0,2018-03-19,13:30,15.26336489,73.96764803,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13028.0,2018-03-07,19:00,15.30646386,74.00130331,Minor injury,1.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,Goa,South Goa
13029.0,2018-03-09,16:24,15.19711486,74.09478434,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13030.0,2018-03-14,15:08,15.19251836,74.0719657,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13031.0,2018-03-14,21:31,15.3457186,74.05344742,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Darkness - lights lit,Goa,North Goa
13032.0,2018-03-18,14:00,15.30976442,73.99720129,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13033.0,2018-03-19,10:15,15.28265652,74.03573165,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13034.0,2018-03-21,17:03,15.28143402,74.1249997,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13035.0,2018-03-21,08:20,15.36097941,74.13690514,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13036.0,2018-03-21,07:50,15.36651032,74.08160685,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13037.0,2018-03-21,17:28,15.18174613,74.06435209,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13038.0,2018-03-22,11:59,15.27711736,74.04316028,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13039.0,2018-02-25,05:30,15.18174136,73.99199347,Minor injury,2.0,1.0,Single carriageway,Snowing no high winds,Darkness - lights lit,Goa,South Goa
13040.0,2018-03-25,23:15,15.3492284,74.04463535,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13041.0,2018-03-25,18:00,15.27726519,74.09730027,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13042.0,2018-03-04,16:52,15.2029002,74.12091558,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13043.0,2018-03-11,18:20,15.21976499,74.15020634,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13044.0,2018-03-24,07:45,15.24615196,73.96930676,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13045.0,2018-03-25,06:05,15.25939646,74.14599881,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13046.0,2018-03-26,21:36,15.33904084,74.00627152,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13047.0,2018-03-28,12:15,15.17850894,74.10054948,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13048.0,2018-03-28,22:35,15.32546627,74.03052453,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13049.0,2018-03-31,14:23,15.18634226,74.12645514,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13050.0,2018-03-09,14:20,15.24292868,74.14817213,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13051.0,2018-03-11,08:00,15.23722706,73.97115477,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13052.0,2018-03-19,08:40,15.29065749,73.95144105,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13053.0,2018-03-18,13:00,15.30130895,74.02098328,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13054.0,2018-05-12,11:54,15.36118408,74.14693808,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13055.0,2018-03-14,13:40,15.18255601,74.10011862,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13056.0,2018-03-15,10:22,15.18127608,74.13822468,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13057.0,2018-03-21,17:40,15.2251811,74.11869812,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13058.0,2018-03-30,10:36,15.2375772,74.07169201,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13059.0,2018-03-31,20:45,15.17595525,74.1399563,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Goa,South Goa
13060.0,2018-03-23,15:02,15.25897208,73.95983494,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13061.0,2018-03-23,07:40,15.34454572,74.13957042,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13062.0,2018-03-23,16:45,15.23716202,74.05802151,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13063.0,2018-03-31,19:57,15.34540034,74.13570869,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13064.0,2018-04-01,13:35,15.26043716,73.96160057,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13065.0,2018-04-02,15:25,15.2340379,73.98723529,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13066.0,2018-04-02,12:07,15.23740311,73.97240009,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13067.0,2018-04-03,13:45,15.32328294,74.10189581,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13068.0,2018-04-04,19:22,15.18848009,73.96436172,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13069.0,2018-04-04,16:00,15.20526441,74.00123673,Minor injury,2.0,1.0,Slip road,Fine no high winds,Daylight,Goa,South Goa
13070.0,2018-04-05,14:50,15.33392072,74.08451285,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13071.0,2018-04-07,15:00,15.28680915,74.0397848,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13072.0,2018-03-20,20:59,15.32226595,74.10129448,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13073.0,2018-03-25,14:15,15.18837332,74.01522929,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13074.0,2018-03-07,20:30,15.2968652,74.00545715,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13075.0,2018-03-30,11:00,15.17576126,73.96632721,Minor injury,3.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13076.0,2018-03-31,20:00,15.2635316,74.10759402,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13077.0,2018-03-26,16:00,15.26662178,74.10704469,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13078.0,2018-04-05,15:20,15.24409773,74.10068065,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13079.0,2018-04-07,12:27,15.19640078,74.08669256,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13080.0,2018-04-07,23:50,15.33577548,74.09261699,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13081.0,2018-04-07,12:20,15.20636248,74.14440421,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13082.0,2018-04-08,19:33,15.24150556,73.95932292,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13083.0,2018-04-09,13:30,15.26326028,74.01593492,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13084.0,2018-04-10,14:45,15.24349849,74.12218196,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13085.0,2018-04-10,13:00,15.34483383,74.00069118,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13086.0,2018-03-29,13:00,15.3129828,74.02759983,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13087.0,2018-04-05,16:20,15.3593901,73.98591709,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13088.0,2018-04-05,07:41,15.20990686,74.00813462,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13089.0,2018-04-06,16:44,15.18048509,74.12764989,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13090.0,2018-04-08,20:54,15.35453068,74.05994898,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13091.0,2018-04-08,21:38,15.31135797,74.07798288,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - no lighting,Goa,North Goa
13092.0,2018-04-10,04:53,15.18064988,74.01034465,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13093.0,2018-04-11,16:48,15.28405574,74.12332668,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13094.0,2018-04-11,17:18,15.32178585,73.97635781,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13095.0,2018-04-11,07:59,15.25603654,74.10161227,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13096.0,2018-04-11,18:00,15.30148162,74.09758675,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13097.0,2018-04-12,12:50,15.2770429,74.03095985,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13098.0,2018-04-12,12:27,15.23029774,74.07994561,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13099.0,2018-04-12,08:20,15.24284644,74.12833344,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13100.0,2018-04-12,09:45,15.23891288,73.98488007,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13101.0,2018-04-13,10:42,15.19756332,74.03090485,Minor injury,3.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13102.0,2018-04-13,08:10,15.17525848,74.03845179,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13103.0,2018-04-13,09:20,15.30856939,73.96003941,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13104.0,2018-04-13,09:35,15.20873418,74.00209323,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13105.0,2018-04-15,15:13,15.26168425,74.09825902,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13106.0,2018-04-13,16:05,15.26718271,74.10530865,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13107.0,2018-04-15,14:45,15.21865302,74.04839874,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13108.0,2018-04-16,20:08,15.32238897,73.98630822,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Goa,South Goa
13109.0,2018-04-16,19:00,15.31694692,74.07331557,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13110.0,2018-04-11,18:15,15.22403377,74.06376146,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13111.0,2018-04-06,10:37,15.1941126,73.96567423,Minor injury,3.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13112.0,2018-04-11,23:20,15.31975436,74.14103345,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13113.0,2018-04-13,08:45,15.18872343,74.01089689,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13114.0,2018-04-13,17:52,15.2762073,74.00891915,Serious injury,1.0,2.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13115.0,2018-04-14,17:10,15.31747827,74.02250326,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13116.0,2018-04-14,20:50,15.20099332,74.02719857,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13117.0,2018-04-16,17:44,15.20080596,74.00792879,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13118.0,2018-04-16,21:55,15.34445436,74.08279964,Serious injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,North Goa
13119.0,2018-04-18,07:10,15.30501933,74.1388059,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13120.0,2018-04-18,17:00,15.24580327,74.10688228,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13121.0,2018-04-18,06:53,15.25518006,74.07919194,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13122.0,2018-04-18,09:00,15.17835247,74.06120418,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13123.0,2018-04-18,08:03,15.34606974,74.07836593,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,North Goa
13124.0,2018-04-18,08:45,15.32427145,73.98211812,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13125.0,2018-04-18,15:24,15.26394059,74.001584,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13126.0,2018-04-18,11:18,15.30937266,74.04482605,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13127.0,2018-04-19,13:30,15.17631708,74.12543491,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13128.0,2018-04-19,12:46,15.32981743,74.14836446,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13129.0,2018-04-21,10:40,15.31349496,74.11334084,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13130.0,2018-04-22,22:00,15.20202767,74.06401161,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13131.0,2018-04-22,22:10,15.19162113,73.99046523,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Goa,South Goa
13132.0,2018-04-22,10:50,15.35164358,74.03304479,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Goa,North Goa
13133.0,2018-04-19,15:09,15.22715545,73.96111961,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Goa,South Goa
13134.0,2018-04-24,21:07,15.30936156,74.06086648,Minor injury,2.0,2.0,Single carriageway,Raining no high winds,Darkness - lights lit,Goa,North Goa
13135.0,2018-04-19,14:30,15.27045903,73.99959045,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13136.0,2018-04-20,11:00,15.26778562,73.99742032,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13137.0,2018-04-20,08:40,15.24364881,74.08225704,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13138.0,2018-04-20,10:45,15.32940919,74.05974813,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,North Goa
13139.0,2018-04-21,14:52,15.29509497,74.11973855,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13140.0,2018-04-21,11:10,15.32172551,74.13048808,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
13141.0,2018-04-22,09:50,15.35064731,74.1474433,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Goa,South Goa
