Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
58808.0,2018-01-18,04:07,23.80494669,86.69031698,Minor injury,1.0,2.0,Single carriageway,Snowing no high winds,Darkness - no lighting,Jharkhand,Dhanbad
58810.0,2018-01-18,08:34,24.18378752,86.46044769,Minor injury,2.0,2.0,Single carriageway,Fine + high winds,Daylight,Jharkhand,Giridih
58825.0,2018-01-19,12:55,23.51368331,84.93066692,Fatal,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Lohardaga
58898.0,2018-01-30,13:42,24.25845186,87.14641703,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Dumka
58926.0,2018-02-02,17:50,24.19760062,84.8395418,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Jharkhand,Chatra
59017.0,2018-02-13,14:05,24.23094863,83.71986911,Minor injury,1.0,2.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Garhwa
59107.0,2018-02-26,23:50,24.55700439,87.78585982,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - no lighting,Jharkhand,Pakur
59177.0,2018-03-11,16:40,24.33610094,85.45751473,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Hazaribagh
59229.0,2018-03-20,10:50,24.41202793,86.74669471,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Deoghar
59265.0,2018-03-24,19:30,24.35628482,86.5054264,Serious injury,3.0,3.0,Single carriageway,Fine no high winds,Darkness - no lighting,Jharkhand,Deoghar
59506.0,2018-04-26,14:28,22.58427533,84.40161383,Serious injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Simdega
59523.0,2018-04-29,08:20,23.72145564,85.4405876,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Hazaribagh
59609.0,2018-05-10,19:00,23.61635209,86.40634581,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Bokaro
59696.0,2018-05-22,18:10,24.46920932,87.15720766,Minor injury,2.0,4.0,Single carriageway,Fine no high winds,Darkness - no lighting,Jharkhand,Dumka
59708.0,2018-05-23,17:37,22.75978073,84.28639572,Minor injury,4.0,3.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Simdega
59794.0,2018-06-04,15:10,24.0311174,84.52429966,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Palamu
59830.0,2018-06-10,08:50,22.87811629,84.48506306,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Jharkhand,Gumla
59916.0,2018-06-21,17:00,23.49442273,85.25560927,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Ranchi
59923.0,2018-06-22,08:30,24.50274037,84.18975607,Minor injury,3.0,2.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Palamu
59924.0,2018-06-22,08:45,24.33174622,84.67252962,Minor injury,4.0,3.0,Single carriageway,Fine no high winds,Daylight,Jharkhand,Chatra
59959.0,2018-06-25,03:24,24.27113332,84.34887947,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Jharkhand,Palamu
59986.0,2018-06-28,16:15,23.92098764,85.55799176,Minor injury,1.0,1.0,One way street,Fine no high winds,Daylight,Jharkhand,Hazaribagh
