Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
26000.0,2018-09-30,20:25,22.75591087,75.87552079,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26001.0,2018-09-28,08:56,22.73933697,75.87894178,Serious injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26002.0,2018-09-25,16:52,22.70109574,75.84220038,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Daylight,Madhya Pradesh,Indore
26003.0,2018-09-18,12:00,22.74996984,75.89487963,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26004.0,2018-09-08,18:00,22.70798527,75.83735302,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26005.0,2018-09-27,09:05,22.75587329,75.9013461,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26006.0,2018-09-21,06:48,22.74963542,75.84195706,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26007.0,2018-09-15,00:15,22.7266993,75.91106743,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26008.0,2018-07-26,03:50,22.72329304,75.85584006,Minor injury,2.0,3.0,Single carriageway,Fine no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26009.0,2018-09-08,13:42,22.76794294,75.88605322,Minor injury,2.0,1.0,One way street,Fine no high winds,Daylight,Madhya Pradesh,Indore
26010.0,2018-09-10,23:15,22.71449096,75.86663647,Minor injury,2.0,1.0,Single carriageway,Raining no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26011.0,2018-09-11,16:28,22.71697108,75.87408888,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26012.0,2018-08-05,20:40,22.72943606,75.8486935,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26013.0,2018-09-30,19:40,22.71372724,75.90003343,Minor injury,1.0,1.0,Single carriageway,Raining no high winds,Daylight,Madhya Pradesh,Indore
26014.0,2018-09-27,16:30,22.71780306,75.87862025,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26015.0,2018-09-27,21:42,22.69770498,75.85446582,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
26016.0,2018-09-11,02:34,22.71258392,75.82813568,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26017.0,2018-09-06,21:41,22.75321678,75.84389449,Minor injury,1.0,1.0,Roundabout,Fine no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26018.0,2018-09-30,20:40,22.75080307,75.91242317,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26019.0,2018-09-23,06:10,22.75987301,75.83135747,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Madhya Pradesh,Indore
26020.0,2018-09-13,09:41,22.69093329,75.88194467,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Madhya Pradesh,Indore
