Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
43800.0,2018-09-19,11:30,18.63804068,73.95308521,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Pune
43801.0,2018-09-17,21:20,18.57776721,73.93703105,Fatal,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Pune
43802.0,2018-09-19,15:40,18.51727313,73.86670313,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Pune
43803.0,2018-09-16,17:30,18.53939361,73.86804003,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Pune
43804.0,2018-09-24,12:20,18.51298408,73.90228339,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Pune
43805.0,2018-09-21,17:30,18.52474498,73.83880829,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Pune
43806.0,2018-09-24,15:45,18.63209165,73.77295041,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Pune
43807.0,2018-09-22,08:00,18.51737643,73.7349507,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Maharashtra,Pune
43808.0,2018-09-24,18:30,18.60589528,73.86827969,Minor injury,3.0,1.0,Unknown,Fine no high winds,Daylight,Maharashtra,Pune
43809.0,2018-09-25,02:00,18.63032616,73.82533427,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Pune
43810.0,2018-09-21,20:25,18.53034993,73.81824872,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Pune
43811.0,2018-09-22,19:35,18.49508096,73.83156904,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Pune
43812.0,2018-09-22,20:55,18.58675365,73.9303068,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Darkness - lights lit,Maharashtra,Pune
