Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
58873.0,2018-01-26,17:28,20.54803509,85.08253512,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Daylight,Odisha,Cuttack
58939.0,2018-02-04,15:25,21.47935354,85.659175,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Odisha,Kendujhar
58979.0,2018-02-08,17:06,21.52178115,84.57703465,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Odisha,Debagarh
58992.0,2018-02-10,00:15,19.58192816,83.64450381,Minor injury,1.0,1.0,Single carriageway,Unknown,Darkness - lights lit,Odisha,Rayagada
59010.0,2018-02-12,14:00,21.91701152,85.67202661,Minor injury,2.0,1.0,Roundabout,Fine + high winds,Daylight,Odisha,Kendujhar
59057.0,2018-02-19,21:44,19.89696024,84.09513264,Minor injury,2.0,1.0,Single carriageway,Snowing + high winds,Darkness - lights lit,Odisha,Kandhamal
59069.0,2018-02-21,14:15,19.7195529,82.09434458,Minor injury,1.0,1.0,Single carriageway,Other,Daylight,Odisha,Nabarangapur
59072.0,2018-02-21,16:40,18.92363375,82.73599239,Minor injury,2.0,1.0,Slip road,Snowing no high winds,Daylight,Odisha,Koraput
59078.0,2018-02-22,11:55,20.1031821,85.98315505,Minor injury,1.0,1.0,Single carriageway,Raining + high winds,Daylight,Odisha,Puri
59080.0,2018-02-22,19:15,19.29592569,84.53450664,Minor injury,1.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Odisha,Ganjam
59116.0,2018-02-28,11:32,21.75269904,83.66532793,Serious injury,4.0,1.0,Single carriageway,Unknown,Daylight,Odisha,Jharsuguda
59136.0,2018-03-04,21:47,22.19593551,83.86004423,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Darkness - lights lit,Odisha,Sundargarh
59143.0,2018-03-06,14:25,21.82030141,83.96861387,Serious injury,2.0,4.0,Single carriageway,Fine no high winds,Daylight,Odisha,Jharsuguda
