Accident_Index,Date,Time,latitude,longitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Weather_Conditions,Light_Conditions,State,District
31200.0,2018-05-17,09:49,26.46558165,80.28846664,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31201.0,2018-06-09,11:07,26.465585,80.27544215,Minor injury,2.0,1.0,Roundabout,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31202.0,2018-05-21,11:20,26.46177755,80.2818009,Minor injury,2.0,2.0,Roundabout,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31203.0,2018-05-19,16:20,26.47501265,80.30258568,Minor injury,3.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31204.0,2018-05-27,09:15,26.45408712,80.31274644,Minor injury,2.0,1.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31205.0,2018-06-13,11:26,26.43872531,80.2684692,Serious injury,2.0,2.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31206.0,2018-06-20,15:14,26.4757859,80.28327682,Minor injury,2.0,2.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31207.0,2018-06-16,12:50,26.45450512,80.33579193,Serious injury,2.0,2.0,Roundabout,Raining no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31208.0,2018-06-24,11:50,26.45029118,80.27950453,Minor injury,2.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31209.0,2018-06-24,10:35,26.44225861,80.28961131,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31210.0,2018-06-09,21:17,26.46732007,80.31103238,Fatal,1.0,2.0,Dual carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
31211.0,2018-06-29,08:32,26.47295115,80.31783068,Minor injury,4.0,1.0,Single carriageway,Fine no high winds,Daylight,Uttar Pradesh,Kanpur Nagar
